Gene stable ID,Genome project,Gene name,Transcript biotype
WBGene00000001,caenorhabditis_elegans_prjna13758,aap-1,protein_coding
WBGene00000002,caenorhabditis_elegans_prjna13758,aat-1,protein_coding
WBGene00000003,caenorhabditis_elegans_prjna13758,aat-2,protein_coding
WBGene00000004,caenorhabditis_elegans_prjna13758,aat-3,protein_coding
WBGene00000004,caenorhabditis_elegans_prjna13758,aat-3,protein_coding
WBGene00000005,caenorhabditis_elegans_prjna13758,aat-4,protein_coding
WBGene00000005,caenorhabditis_elegans_prjna13758,aat-4,ncRNA
WBGene00000006,caenorhabditis_elegans_prjna13758,aat-5,protein_coding
WBGene00000006,caenorhabditis_elegans_prjna13758,aat-5,ncRNA
WBGene00000006,caenorhabditis_elegans_prjna13758,aat-5,ncRNA
WBGene00000006,caenorhabditis_elegans_prjna13758,aat-5,ncRNA
WBGene00000007,caenorhabditis_elegans_prjna13758,aat-6,protein_coding
WBGene00000007,caenorhabditis_elegans_prjna13758,aat-6,protein_coding
WBGene00000008,caenorhabditis_elegans_prjna13758,aat-7,protein_coding
WBGene00000009,caenorhabditis_elegans_prjna13758,aat-8,protein_coding
WBGene00000010,caenorhabditis_elegans_prjna13758,aat-9,protein_coding
WBGene00000010,caenorhabditis_elegans_prjna13758,aat-9,protein_coding
WBGene00000012,caenorhabditis_elegans_prjna13758,abf-1,protein_coding
WBGene00000013,caenorhabditis_elegans_prjna13758,abf-2,protein_coding
WBGene00000014,caenorhabditis_elegans_prjna13758,abf-3,protein_coding
WBGene00000015,caenorhabditis_elegans_prjna13758,abf-4,protein_coding
WBGene00000016,caenorhabditis_elegans_prjna13758,abf-5,protein_coding
WBGene00000017,caenorhabditis_elegans_prjna13758,abf-6,protein_coding
WBGene00000018,caenorhabditis_elegans_prjna13758,abl-1,protein_coding
WBGene00000018,caenorhabditis_elegans_prjna13758,abl-1,protein_coding
WBGene00000018,caenorhabditis_elegans_prjna13758,abl-1,protein_coding
WBGene00000018,caenorhabditis_elegans_prjna13758,abl-1,protein_coding
WBGene00000018,caenorhabditis_elegans_prjna13758,abl-1,protein_coding
WBGene00000019,caenorhabditis_elegans_prjna13758,abt-1,protein_coding
WBGene00000019,caenorhabditis_elegans_prjna13758,abt-1,protein_coding
WBGene00000020,caenorhabditis_elegans_prjna13758,abt-2,protein_coding
WBGene00000020,caenorhabditis_elegans_prjna13758,abt-2,protein_coding
WBGene00000021,caenorhabditis_elegans_prjna13758,abt-3,pseudogene
WBGene00000022,caenorhabditis_elegans_prjna13758,abt-4,protein_coding
WBGene00000023,caenorhabditis_elegans_prjna13758,abt-5,protein_coding
WBGene00000024,caenorhabditis_elegans_prjna13758,abu-1,protein_coding
WBGene00000025,caenorhabditis_elegans_prjna13758,abu-2,protein_coding
WBGene00000026,caenorhabditis_elegans_prjna13758,abu-3,pseudogene
WBGene00000027,caenorhabditis_elegans_prjna13758,abu-4,protein_coding
WBGene00000028,caenorhabditis_elegans_prjna13758,abu-5,protein_coding
WBGene00000029,caenorhabditis_elegans_prjna13758,abu-6,protein_coding
WBGene00000030,caenorhabditis_elegans_prjna13758,abu-7,protein_coding
WBGene00000031,caenorhabditis_elegans_prjna13758,abu-8,protein_coding
WBGene00000032,caenorhabditis_elegans_prjna13758,abu-9,protein_coding
WBGene00000033,caenorhabditis_elegans_prjna13758,abu-10,protein_coding
WBGene00000034,caenorhabditis_elegans_prjna13758,abu-11,protein_coding
WBGene00000035,caenorhabditis_elegans_prjna13758,ace-1,protein_coding
WBGene00000036,caenorhabditis_elegans_prjna13758,ace-2,protein_coding
WBGene00000036,caenorhabditis_elegans_prjna13758,ace-2,protein_coding
WBGene00000037,caenorhabditis_elegans_prjna13758,ace-3,protein_coding
WBGene00000038,caenorhabditis_elegans_prjna13758,ace-4,protein_coding
WBGene00000039,caenorhabditis_elegans_prjna13758,acn-1,protein_coding
WBGene00000040,caenorhabditis_elegans_prjna13758,aco-1,protein_coding
WBGene00000041,caenorhabditis_elegans_prjna13758,aco-2,protein_coding
WBGene00000041,caenorhabditis_elegans_prjna13758,aco-2,protein_coding
WBGene00000041,caenorhabditis_elegans_prjna13758,aco-2,protein_coding
WBGene00000041,caenorhabditis_elegans_prjna13758,aco-2,protein_coding
WBGene00000042,caenorhabditis_elegans_prjna13758,acr-2,protein_coding
WBGene00000043,caenorhabditis_elegans_prjna13758,acr-3,protein_coding
WBGene00000044,caenorhabditis_elegans_prjna13758,acr-5,protein_coding
WBGene00000045,caenorhabditis_elegans_prjna13758,acr-6,protein_coding
WBGene00000046,caenorhabditis_elegans_prjna13758,acr-7,protein_coding
WBGene00000047,caenorhabditis_elegans_prjna13758,acr-8,protein_coding
WBGene00000047,caenorhabditis_elegans_prjna13758,acr-8,protein_coding
WBGene00000048,caenorhabditis_elegans_prjna13758,acr-9,protein_coding
WBGene00000049,caenorhabditis_elegans_prjna13758,acr-10,protein_coding
WBGene00000050,caenorhabditis_elegans_prjna13758,acr-11,protein_coding
WBGene00000051,caenorhabditis_elegans_prjna13758,acr-12,protein_coding
WBGene00000051,caenorhabditis_elegans_prjna13758,acr-12,protein_coding
WBGene00000053,caenorhabditis_elegans_prjna13758,acr-14,protein_coding
WBGene00000054,caenorhabditis_elegans_prjna13758,acr-15,protein_coding
WBGene00000055,caenorhabditis_elegans_prjna13758,acr-16,protein_coding
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,ncRNA
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,protein_coding
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,ncRNA
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,ncRNA
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,ncRNA
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,ncRNA
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,protein_coding
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,protein_coding
WBGene00000056,caenorhabditis_elegans_prjna13758,acr-17,protein_coding
WBGene00000057,caenorhabditis_elegans_prjna13758,acr-18,protein_coding
WBGene00000058,caenorhabditis_elegans_prjna13758,acr-19,protein_coding
WBGene00000058,caenorhabditis_elegans_prjna13758,acr-19,protein_coding
WBGene00000059,caenorhabditis_elegans_prjna13758,acr-20,protein_coding
WBGene00000059,caenorhabditis_elegans_prjna13758,acr-20,protein_coding
WBGene00000059,caenorhabditis_elegans_prjna13758,acr-20,protein_coding
WBGene00000060,caenorhabditis_elegans_prjna13758,acr-21,protein_coding
WBGene00000060,caenorhabditis_elegans_prjna13758,acr-21,protein_coding
WBGene00000060,caenorhabditis_elegans_prjna13758,acr-21,protein_coding
WBGene00000060,caenorhabditis_elegans_prjna13758,acr-21,protein_coding
WBGene00000061,caenorhabditis_elegans_prjna13758,lgc-11,protein_coding
WBGene00000062,caenorhabditis_elegans_prjna13758,acr-23,protein_coding
WBGene00000062,caenorhabditis_elegans_prjna13758,acr-23,protein_coding
WBGene00000063,caenorhabditis_elegans_prjna13758,act-1,protein_coding
WBGene00000064,caenorhabditis_elegans_prjna13758,act-2,protein_coding
WBGene00000065,caenorhabditis_elegans_prjna13758,act-3,protein_coding
WBGene00000065,caenorhabditis_elegans_prjna13758,act-3,protein_coding
WBGene00000065,caenorhabditis_elegans_prjna13758,act-3,protein_coding
WBGene00000066,caenorhabditis_elegans_prjna13758,act-4,protein_coding
WBGene00000066,caenorhabditis_elegans_prjna13758,act-4,protein_coding
WBGene00000067,caenorhabditis_elegans_prjna13758,act-5,protein_coding
WBGene00000068,caenorhabditis_elegans_prjna13758,acy-1,protein_coding
