WBGeneID,Sequence.name,tissue
WBGene00000004,aat-3,ubiquitous
WBGene00000007,aat-6,intestine
WBGene00000008,aat-7,intestine
WBGene00000016,abf-5,nervous-system
WBGene00000028,abu-5,muscular-system
WBGene00000029,abu-6,muscular-system
WBGene00000031,abu-8,intestine
WBGene00000041,aco-2,ubiquitous
WBGene00000043,acr-3,nervous-system
WBGene00000044,acr-5,nervous-system
WBGene00000045,acr-6,nervous-system
WBGene00000046,acr-7,muscular-system
WBGene00000049,acr-10,nervous-system
WBGene00000051,acr-12,nervous-system
WBGene00000056,acr-17,nervous-system
WBGene00000058,acr-19,nervous-system
WBGene00000059,acr-20,nervous-system
WBGene00000061,lgc-11,nervous-system
WBGene00000063,act-1,ubiquitous
WBGene00000064,act-2,ubiquitous
WBGene00000065,act-3,ubiquitous
WBGene00000066,act-4,ubiquitous
WBGene00000067,act-5,ubiquitous
WBGene00000071,acy-4,nervous-system
WBGene00000073,add-2,ubiquitous
WBGene00000080,adr-2,ubiquitous
WBGene00000097,aip-1,ubiquitous
WBGene00000098,air-1,ubiquitous
WBGene00000101,aka-1,ubiquitous
WBGene00000105,alg-1,ubiquitous
WBGene00000106,alg-2,ubiquitous
WBGene00000107,alh-1,ubiquitous
WBGene00000109,alh-3,ubiquitous
WBGene00000110,alh-4,ubiquitous
WBGene00000112,alh-6,ubiquitous
WBGene00000114,alh-8,ubiquitous
WBGene00000115,alh-9,ubiquitous
WBGene00000121,aly-2,ubiquitous
WBGene00000122,aly-3,ubiquitous
WBGene00000123,ama-1,ubiquitous
WBGene00000134,amt-2,nervous-system
WBGene00000140,anc-1,ubiquitous
WBGene00000143,apc-2,reproductive-system
WBGene00000145,apc-11,ubiquitous
WBGene00000146,ape-1,ubiquitous
WBGene00000147,aph-1,ubiquitous
WBGene00000148,aph-2,ubiquitous
WBGene00000150,apm-1,ubiquitous
WBGene00000151,apn-1,ubiquitous
WBGene00000157,aps-2,ubiquitous
WBGene00000160,apb-1,ubiquitous
WBGene00000161,apa-2,ubiquitous
WBGene00000163,apb-3,ubiquitous
WBGene00000165,aps-3,ubiquitous
WBGene00000174,aqp-6,nervous-system
WBGene00000179,aqp-11,ubiquitous
WBGene00000180,arc-1,nervous-system
WBGene00000181,ard-1,ubiquitous
WBGene00000182,arf-1,ubiquitous
WBGene00000183,arf-5,ubiquitous
WBGene00000188,arl-3,nervous-system
WBGene00000189,arl-5,ubiquitous
WBGene00000192,arl-8,ubiquitous
WBGene00000193,arl-6,nervous-system
WBGene00000197,aars-2,ubiquitous
WBGene00000198,art-1,ubiquitous
WBGene00000199,arx-1,ubiquitous
WBGene00000200,arx-2,ubiquitous
WBGene00000201,arx-3,ubiquitous
WBGene00000203,arx-5,ubiquitous
WBGene00000204,arx-6,ubiquitous
WBGene00000205,arx-7,ubiquitous
WBGene00000206,asb-1,ubiquitous
WBGene00000207,asb-2,ubiquitous
WBGene00000208,trip-4,ubiquitous
WBGene00000213,asm-3,intestine
WBGene00000214,asp-1,ubiquitous
WBGene00000216,asp-3,ubiquitous
WBGene00000223,atf-7,ubiquitous
WBGene00000229,atp-2,ubiquitous
WBGene00000230,atp-3,ubiquitous
WBGene00000231,atx-2,ubiquitous
WBGene00000235,baf-1,ubiquitous
WBGene00000236,bag-1,ubiquitous
WBGene00000247,bec-1,ubiquitous
WBGene00000248,ben-1,ubiquitous
WBGene00000249,bir-1,ubiquitous
WBGene00000250,bir-2,ubiquitous
WBGene00000253,bli-3,epithelial-system
WBGene00000254,bli-4,ubiquitous
WBGene00000257,bmk-1,ubiquitous
WBGene00000263,F23H11.5,ubiquitous
WBGene00000264,brc-1,reproductive-system
WBGene00000265,brd-1,ubiquitous
WBGene00000266,bre-1,ubiquitous
WBGene00000269,bre-4,reproductive-system
WBGene00000275,bub-1,ubiquitous
WBGene00000276,byn-1,ubiquitous
WBGene00000287,cal-3,nervous-system
WBGene00000289,cam-1,ubiquitous
WBGene00000292,cap-1,ubiquitous
WBGene00000293,cap-2,ubiquitous
WBGene00000294,cas-1,ubiquitous
WBGene00000369,ccf-1,ubiquitous
WBGene00000371,cox-5B,ubiquitous
WBGene00000372,cyp-13A7,intestine
WBGene00000375,cyp-44A1,intestine
WBGene00000377,cct-1,ubiquitous
WBGene00000378,cct-2,ubiquitous
WBGene00000379,cct-4,ubiquitous
WBGene00000380,cct-5,ubiquitous
WBGene00000381,cct-6,ubiquitous
WBGene00000383,cdc-14,ubiquitous
WBGene00000386,cdc-25.1,ubiquitous
WBGene00000390,cdc-42,ubiquitous
WBGene00000397,cdh-5,intestine
WBGene00000399,cdh-7,nervous-system
WBGene00000401,cdh-9,ubiquitous
WBGene00000408,cdk-7,ubiquitous
WBGene00000409,cdk-8,ubiquitous
WBGene00000411,cdl-1,reproductive-system
WBGene00000415,ced-1,ubiquitous
WBGene00000416,ced-2,ubiquitous
WBGene00000418,ced-4,ubiquitous
WBGene00000421,ced-7,ubiquitous
WBGene00000423,ced-9,reproductive-system
WBGene00000426,ced-12,ubiquitous
WBGene00000432,ceh-7,nervous-system
WBGene00000448,pros-1,ubiquitous
WBGene00000452,ceh-31,nervous-system
WBGene00000453,ceh-32,ubiquitous
WBGene00000457,ceh-36,nervous-system
WBGene00000462,ceh-41,ubiquitous
WBGene00000464,ceh-44,ubiquitous
WBGene00000466,cel-1,ubiquitous
WBGene00000468,ces-1,nervous-system
WBGene00000472,cey-1,ubiquitous
WBGene00000479,cgh-1,ubiquitous
