RW047_CKDL200153464-1a_HC2L3BBXX_L6_1	RW047_CKDL200153464-1a_HC2L3BBXX_L6_2	L1_whole_rep1
RW048_CKDL200153465-1a_HC2L3BBXX_L6_1	RW048_CKDL200153465-1a_HC2L3BBXX_L6_2	L1_cells_rep1
RW049_CKDL200153466-1a_HC2L3BBXX_L6_1	RW049_CKDL200153466-1a_HC2L3BBXX_L6_2	L1_GFPplus_rep1
RW050_CKDL200153467-1a_HC2L3BBXX_L6_1	RW050_CKDL200153467-1a_HC2L3BBXX_L6_2	L1_GFPminus_rep1
RW052_CKDL200153468-1a_HC2L3BBXX_L6_1	RW052_CKDL200153468-1a_HC2L3BBXX_L6_2	L1_whole_rep2
RW053_CKDL200153469-1a_HC2L3BBXX_L6_1	RW053_CKDL200153469-1a_HC2L3BBXX_L6_2	L1_cells_rep2
RW054_CKDL200153470-1a_HC2L3BBXX_L6_1	RW054_CKDL200153470-1a_HC2L3BBXX_L6_2	L1_GFPplus_rep2
RW055_CKDL200153471-1a_HC2L3BBXX_L6_1	RW055_CKDL200153471-1a_HC2L3BBXX_L6_2	L1_GFPminus_rep2
RW57_S10_L003_R1_001	RW57_S10_L003_R2_001	embryo_cells_rep1
RW58_S11_L003_R1_001	RW58_S11_L003_R2_001	embryo_GFPplus_rep1
RW59_S12_L003_R1_001	RW59_S12_L003_R2_001	embryo_GFPminus_rep1
RW60_S13_L003_R1_001	RW60_S13_L003_R2_001	embryo_whole_rep2
RW61_S14_L003_R1_001	RW61_S14_L003_R2_001	embryo_cells_rep2
RW62_S15_L003_R1_001	RW62_S15_L003_R2_001	embryo_GFPplus_rep2
RW63_S16_L003_R1_001	RW63_S16_L003_R2_001	embryo_GFPminus_rep2
RW64_S17_L003_R1_001	RW64_S17_L003_R2_001	embryo_whole_rep3
RW65_S18_L003_R1_001	RW65_S18_L003_R2_001	embryo_GFPplus_rep3
RW66_S19_L003_R1_001	RW66_S19_L003_R2_001	embryo_GFPminus_rep3
RW74_S25_L002_R1_001	RW74_S25_L002_R2_001	L1_whole_rep3
RW75_S26_L002_R1_001	RW75_S26_L002_R2_001	L1_cells_rep3
RW76_S27_L002_R1_001	RW76_S27_L002_R2_001	L1_GFPplus_rep3
RW77_S28_L002_R1_001	RW77_S28_L002_R2_001	L1_GFPminus_rep3
RW78_S29_L002_R1_001	RW78_S29_L002_R2_001	L3_whole_rep1
RW79_S30_L002_R1_001	RW79_S30_L002_R2_001	L3_cells_rep1
RW80_S31_L002_R1_001	RW80_S31_L002_R2_001	L3_GFPplus_rep1
RW81_S32_L002_R1_001	RW81_S32_L002_R2_001	L3_GFPminus_rep1
RW82_S33_L002_R1_001	RW82_S33_L002_R2_001	L3_whole_rep2
RW83_S34_L002_R1_001	RW83_S34_L002_R2_001	L3_cells_rep2
RW84_S35_L002_R1_001	RW84_S35_L002_R2_001	L3_GFPminus_rep2
RW85_S36_L002_R1_001	RW85_S36_L002_R2_001	L3_GFPplus_rep2
RW86_S37_L002_R1_001	RW86_S37_L002_R2_001	L3_whole_rep3
RW87_S38_L002_R1_001	RW87_S38_L002_R2_001	L3_cells_rep3
RW88_S39_L002_R1_001	RW88_S39_L002_R2_001	L3_GFPplus_rep3
RW89_S40_L002_R1_001	RW89_S40_L002_R2_001	L3_GFPminus_rep3
