WBGeneID	embryo_cells_rep1	embryo_GFPplus_rep1	embryo_GFPminus_rep1	embryo_whole_rep2	embryo_cells_rep2	embryo_GFPplus_rep2	embryo_GFPminus_rep2	embryo_whole_rep3	embryo_GFPplus_rep3	embryo_GFPminus_rep3	L1_whole_rep1	L1_cells_rep1	L1_GFPplus_rep1	L1_GFPminus_rep1	L1_whole_rep3	L1_cells_rep3	L1_GFPplus_rep3	L1_GFPminus_rep3	L3_whole_rep1	L3_cells_rep1	L3_GFPplus_rep1	L3_GFPminus_rep1	L3_whole_rep2	L3_cells_rep2	L3_GFPminus_rep2	L3_GFPplus_rep2	L3_whole_rep3	L3_cells_rep3	L3_GFPplus_rep3	L3_GFPminus_rep3
WBGene00021406	138	72	220	73	114	303	34	136	69	47	145	125	205	41	759	16	31	15	20	64	24	11	25	14	60	51	145	26	8	32
WBGene00021407	3	17	17	19	7	0	0	94	4	12	154	5	0	14	18	0	0	1	17	6	4	5	16	1	1	1	18	4	1	2
WBGene00021408	72	27	0	2	7	54	0	2	21	0	6	10	64	0	10	5	5	1	0	0	13	0	1	0	0	1	0	0	1	0
WBGene00021404	2	60	0	11	4	50	0	2	29	0	2	14	52	1	12	4	3	1	1	0	3	1	0	0	0	0	1	0	1	0
WBGene00001492	1837	1237	1868	881	1304	1112	494	1257	834	737	1080	606	1261	334	665	223	429	226	256	361	356	196	434	259	101	156	397	269	192	133
WBGene00021403	4	0	3	12	157	2	2	10	1	2	18	5	0	12	18	0	0	0	12	6	2	3	7	1	1	0	9	3	0	1
WBGene00015246	20	26	11	6	3	7	0	3	3	6	71	35	111	18	12	17	26	4	5	4	2	1	1	2	1	4	2	6	0	1
WBGene00006599	4346	3098	3266	2958	3723	4903	1343	3160	2365	2038	13480	7726	8618	4242	7849	3329	2419	1868	2289	2790	2566	1512	2512	2266	790	1436	2189	2153	1849	875
WBGene00015247	9	27	220	38	31	108	63	15	49	54	96	68	103	183	56	42	11	51	9	13	12	10	24	14	7	4	14	10	4	7
WBGene00017928	880	661	2034	1055	1076	843	481	844	615	1096	1826	1940	2763	1876	507	683	1023	642	620	1193	891	1833	764	706	1356	510	801	1164	406	1568
WBGene00017929	6128	2238	8238	8201	8589	2867	2627	5862	1709	4510	3417	2755	2009	1852	2220	887	924	714	1108	1666	1249	1841	1586	1284	1124	627	1357	1581	455	1694
WBGene00017926	3886	3164	3828	2725	4597	6431	2087	3436	4108	4956	10698	7088	8068	7292	3776	3152	4179	3361	6195	5527	4854	6791	7487	4806	3247	3678	6017	5525	2750	5202
WBGene00000897	4991	2049	4369	2917	4565	3170	1985	3426	2338	3167	3584	2257	2658	1747	1876	740	1070	487	609	961	1013	627	796	647	440	555	659	850	648	597
WBGene00000674	10850	776	18789	2017	7736	2710	4549	4297	889	5263	1914	2118	167	2561	3198	968	154	1204	403	1749	743	950	585	1193	997	341	623	1375	207	1460
WBGene00021400	29	0	22	65	40	4	7	44	1	8	1824	485	26	127	346	298	15	224	106	399	386	170	150	417	61	89	131	244	133	114
WBGene00021397	18	385	13	19	11	167	0	20	80	3	343	167	1529	6	108	58	375	2	43	15	162	3	135	30	6	78	99	47	134	5
WBGene00021396	903	958	295	702	759	488	370	913	209	573	1584	481	2392	66	1130	178	438	71	182	515	477	231	270	785	125	200	260	428	321	145
WBGene00006561	4326	2947	3696	2829	2494	5584	1950	2153	3248	4163	1255	1779	495	1804	705	620	333	520	319	551	476	530	302	243	199	207	266	304	98	201
WBGene00021395	823	100	908	863	860	322	323	588	107	786	2935	1940	466	1180	866	947	627	618	529	1278	1030	1479	570	817	760	349	515	776	213	901
WBGene00021402	355	206	615	748	601	442	275	881	226	566	830	891	850	575	288	243	391	167	265	328	289	399	317	214	213	234	316	267	147	266
WBGene00000815	2636	963	3634	5956	4448	2121	2015	3781	1268	3225	1521	1853	1470	1371	850	521	676	397	610	1065	570	1365	896	609	971	430	782	1071	342	1302
WBGene00044736	147	83	257	206	154	97	82	221	58	115	799	255	71	230	357	69	39	82	342	104	51	105	349	73	62	90	275	87	91	64
WBGene00195063	560	244	745	802	921	1023	501	612	577	916	777	803	615	782	376	205	328	206	401	553	361	691	492	286	579	278	368	513	177	602
WBGene00021394	1578	1623	2892	2854	2307	2088	977	2286	1536	2298	2623	1396	1808	1312	1545	519	757	313	649	782	898	692	821	584	481	430	683	601	333	524
WBGene00021401	591	801	660	864	807	1193	370	615	1107	827	669	662	954	552	342	235	445	240	696	599	413	1069	864	363	531	342	644	581	250	835
WBGene00019821	4176	1205	4586	3791	3436	2606	1764	2842	2128	4417	1558	2783	1373	2164	826	743	856	543	469	1304	787	1954	615	733	1433	399	563	1269	314	1578
WBGene00019822	2744	1031	4306	2624	2623	1435	1498	2616	1001	2483	1387	2542	1164	1707	620	674	743	459	608	1379	598	2257	728	787	1574	417	755	1518	374	1966
WBGene00019823	2020	968	2919	3922	2584	1992	1440	2498	1228	2470	1386	1508	1260	1197	861	469	711	303	1156	1502	910	2087	1512	830	1111	837	1242	1423	451	1691
WBGene00019820	3850	970	4620	3388	4265	2138	1709	3797	1251	2917	1175	1618	1791	997	929	387	794	273	576	995	709	1377	791	737	1157	487	823	1157	361	1387
WBGene00019819	9521	848	13941	7109	13069	2804	4865	6784	1266	5335	10459	612	44	513	4781	666	71	357	4166	979	328	402	7627	521	174	1097	6676	1093	870	375
WBGene00019824	1069	932	4027	4210	2813	1041	1253	2939	456	2268	1066	1201	1016	811	621	292	369	197	353	572	342	834	496	333	595	168	398	530	120	774
WBGene00019825	282	232	650	1051	570	195	197	666	124	284	390	405	319	230	118	100	247	68	129	236	158	333	226	131	211	198	198	259	229	286
WBGene00001071	60	0	141	44	20	18	18	29	2	17	49	15	2	15	49	6	3	26	5631	762	636	568	6620	779	354	1928	4863	991	59	491
WBGene00020647	2557	902	3283	5752	3878	2066	1399	3612	1606	3496	1344	1298	1320	1170	781	379	597	352	458	869	593	1238	651	490	748	380	535	880	272	1030
WBGene00003932	5704	617	3358	6823	5970	2299	2736	4819	932	7077	5113	5120	1353	7881	5545	2083	603	2715	1481	4118	1825	3906	1997	2272	1857	703	1635	2459	530	3274
WBGene00020651	79	19	45	125	56	47	16	64	67	45	1823	217	52	185	618	229	67	95	696	330	320	209	926	240	35	117	674	198	127	74
WBGene00020650	18	15	60	20	14	43	44	8	12	21	48	10	4	30	24	12	3	1	6	4	25	13	8	11	1	2	4	12	13	17
WBGene00020649	197	380	164	224	222	465	29	138	212	47	3242	2037	5702	1059	495	611	1101	204	541	199	1013	167	940	257	111	395	703	226	231	59
WBGene00206487	989	1605	1071	1179	1270	1556	514	1474	1376	929	1014	569	843	424	1068	392	227	445	202	442	620	484	266	358	358	273	225	386	190	352
WBGene00045177	0	0	0	14	2	8	0	4	3	0	60	11	23	1	40	1	1	1	361	82	10	44	427	20	9	44	323	31	57	15
WBGene00020648	1170	2420	393	748	832	1598	458	946	1639	1443	226	139	863	49	663	84	252	21	47	24	180	41	45	157	13	73	63	135	67	16
WBGene00019298	5635	26956	201	4484	5103	53993	409	2914	44261	134	18321	11450	35241	4788	3351	4035	16258	1547	2961	822	4801	428	5907	1465	143	5038	4556	1637	4891	282
WBGene00019300	53	43	47	321	71	31	28	69	17	5	1020	493	412	457	526	264	79	480	455	997	417	675	793	780	366	433	726	686	427	549
WBGene00019299	20	35	47	74	46	10	19	61	8	39	62	138	11	120	86	111	4	139	31	75	47	65	43	36	33	3	20	23	10	56
WBGene00001099	2785	11254	34	1318	1846	9064	32	1262	7843	16	7118	1923	17447	119	5092	1112	8812	68	4053	271	4272	115	5099	706	46	2448	5784	831	3291	63
WBGene00017578	103	103	15	195	99	126	23	79	95	11	1158	600	3648	35	341	153	1301	11	174	17	304	16	262	56	5	223	280	56	155	2
WBGene00000675	0	4	17	14	14	8	11	12	4	3	1660	1360	149	1208	52	121	32	96	179	94	113	73	146	23	11	22	69	18	3	8
WBGene00017577	18	0	15	58	27	0	0	6	10	2	2	15	52	4	49	1	2	0	547	88	114	66	396	129	67	41	300	142	3	96
WBGene00017574	240	1302	75	307	336	1675	16	296	1521	40	1321	373	2358	44	664	167	1089	49	450	82	537	54	691	76	5	415	589	104	342	9
WBGene00017576	4611	337	622	1978	2456	946	1157	2028	322	1681	784	312	337	335	3054	87	123	71	226	525	400	261	229	714	275	311	284	467	47	136
WBGene00022048	22899	2410	7578	8336	12303	5672	4629	9435	1875	7758	36293	64224	8107	104310	17105	25519	6297	36748	7302	41203	12758	35401	10653	27762	29113	7653	14470	40187	11312	42286
WBGene00004981	1662	2845	2247	1314	1773	4022	617	1249	2742	1359	2535	1437	5905	744	1314	803	5171	254	2028	733	2180	897	3012	783	581	1389	2905	942	947	648
WBGene00004493	16242	29360	15232	18116	17438	40315	7729	13524	29130	18920	58009	49640	75066	63520	15101	18740	32844	23509	36604	34743	27989	59696	42503	22850	33028	18777	34683	33354	14799	43051
WBGene00044789	3117	1492	4857	1404	2532	3625	1232	1473	2599	2764	2510	2419	2531	1734	928	659	1055	494	496	1596	1085	1908	638	766	1044	526	828	1296	456	1324
WBGene00020300	688	270	821	1205	964	724	570	978	381	1073	299	324	96	193	154	68	85	62	126	257	70	397	178	114	217	69	148	218	41	332
WBGene00001338	1224	635	1639	1767	1880	1085	666	1330	560	1426	1885	1649	1395	1127	637	429	446	338	361	784	516	1087	592	434	804	250	431	672	199	889
WBGene00020298	4315	1552	3856	3833	4063	2989	2159	2887	2206	4292	2191	2211	1350	2007	1165	569	663	499	644	1190	829	1519	820	763	944	406	803	1081	283	1269
WBGene00045249	152	73	180	255	315	267	223	355	237	459	333	227	150	189	104	57	62	64	201	131	109	247	287	99	132	90	156	138	50	202
WBGene00020297	44694	42455	43559	17174	31103	47386	17962	22388	36256	36435	77992	91039	102547	105321	11341	20330	20109	24525	9585	20777	15214	26559	11791	9604	15673	7406	9751	15962	7067	19681
WBGene00020296	1496	1125	1791	2365	1609	2168	738	1874	2056	2191	1515	1374	1772	1517	713	817	841	811	672	1172	677	2104	915	597	1167	375	769	1165	327	1548
WBGene00001666	78	130	379	133	162	218	84	97	83	226	333	216	14	246	110	124	18	78	75	193	44	310	81	87	106	48	104	154	43	190
WBGene00002187	1854	2474	1998	3184	2298	2778	724	2212	2272	1202	5991	3293	8345	2205	4160	1432	2986	1022	1792	1561	2434	1241	2468	1413	751	1605	1960	1679	1939	1173
WBGene00020299	560	344	964	523	583	471	320	505	367	731	521	449	345	311	413	125	111	126	91	165	150	151	146	152	107	126	98	139	90	110
