WBGeneID,altHyp,intestine_expression
WBGene00021397,greater,enriched
WBGene00021396,greater,enriched
WBGene00020648,greater,enriched
WBGene00001099,greater,enriched
WBGene00017578,greater,enriched
WBGene00017574,greater,enriched
WBGene00004981,greater,enriched
WBGene00022047,greater,enriched
WBGene00002041,greater,enriched
WBGene00000213,greater,enriched
WBGene00018925,greater,enriched
WBGene00044723,greater,enriched
WBGene00019660,greater,enriched
WBGene00044458,greater,enriched
WBGene00018931,greater,enriched
WBGene00044757,greater,enriched
WBGene00021939,greater,enriched
WBGene00019068,greater,enriched
WBGene00021928,greater,enriched
WBGene00009522,greater,enriched
WBGene00009523,greater,enriched
WBGene00009518,greater,enriched
WBGene00009515,greater,enriched
WBGene00022425,greater,enriched
WBGene00019368,greater,enriched
WBGene00044719,greater,enriched
WBGene00044073,greater,enriched
WBGene00016425,greater,enriched
WBGene00021519,greater,enriched
WBGene00021518,greater,enriched
WBGene00019462,greater,enriched
WBGene00016027,greater,enriched
WBGene00006920,greater,enriched
WBGene00006912,greater,enriched
WBGene00021427,greater,enriched
WBGene00021420,greater,enriched
WBGene00016669,greater,enriched
WBGene00022076,greater,enriched
WBGene00004878,greater,enriched
WBGene00022382,greater,enriched
WBGene00022375,greater,enriched
WBGene00045397,greater,enriched
WBGene00044488,greater,enriched
WBGene00043062,greater,enriched
WBGene00043702,greater,enriched
WBGene00021879,greater,enriched
WBGene00021895,greater,enriched
WBGene00044492,greater,enriched
WBGene00021872,greater,enriched
WBGene00021888,greater,enriched
WBGene00021870,greater,enriched
WBGene00044469,greater,enriched
WBGene00021952,greater,enriched
WBGene00015038,greater,enriched
WBGene00002188,greater,enriched
WBGene00022610,greater,enriched
WBGene00021367,greater,enriched
WBGene00000009,greater,enriched
WBGene00018146,greater,enriched
WBGene00018971,greater,enriched
WBGene00021582,greater,enriched
WBGene00021580,greater,enriched
WBGene00021583,greater,enriched
WBGene00021586,greater,enriched
WBGene00271795,greater,enriched
WBGene00021587,greater,enriched
WBGene00018645,greater,enriched
WBGene00018646,greater,enriched
WBGene00019931,greater,enriched
WBGene00219216,greater,enriched
WBGene00017487,greater,enriched
WBGene00020972,greater,enriched
WBGene00021286,greater,enriched
WBGene00271788,greater,enriched
WBGene00019720,greater,enriched
WBGene00019717,greater,enriched
WBGene00044481,greater,enriched
WBGene00017592,greater,enriched
WBGene00017594,greater,enriched
WBGene00017591,greater,enriched
WBGene00019164,greater,enriched
WBGene00019166,greater,enriched
WBGene00021178,greater,enriched
WBGene00021159,greater,enriched
WBGene00001243,greater,enriched
WBGene00001244,greater,enriched
WBGene00016542,greater,enriched
WBGene00016721,greater,enriched
WBGene00019515,greater,enriched
WBGene00015702,greater,enriched
WBGene00016760,greater,enriched
WBGene00016759,greater,enriched
WBGene00016763,greater,enriched
WBGene00016758,greater,enriched
WBGene00016757,greater,enriched
WBGene00016756,greater,enriched
WBGene00016755,greater,enriched
WBGene00019058,greater,enriched
WBGene00019057,greater,enriched
WBGene00019060,greater,enriched
WBGene00000005,greater,enriched
WBGene00020468,greater,enriched
WBGene00022252,greater,enriched
WBGene00004169,greater,enriched
WBGene00002274,greater,enriched
WBGene00017480,greater,enriched
WBGene00015284,greater,enriched
WBGene00015279,greater,enriched
WBGene00015280,greater,enriched
WBGene00006917,greater,enriched
WBGene00015930,greater,enriched
WBGene00015933,greater,enriched
WBGene00015932,greater,enriched
WBGene00019215,greater,enriched
WBGene00020683,greater,enriched
WBGene00016594,greater,enriched
WBGene00018350,greater,enriched
WBGene00021495,greater,enriched
WBGene00020446,greater,enriched
WBGene00015216,greater,enriched
WBGene00018907,greater,enriched
WBGene00002173,greater,enriched
WBGene00003607,greater,enriched
WBGene00016845,greater,enriched
WBGene00016379,greater,enriched
WBGene00004979,greater,enriched
WBGene00015048,greater,enriched
WBGene00015050,greater,enriched
WBGene00015052,greater,enriched
WBGene00235296,greater,enriched
WBGene00006930,greater,enriched
WBGene00003099,greater,enriched
WBGene00017071,greater,enriched
WBGene00004993,greater,enriched
WBGene00002043,greater,enriched
WBGene00016769,greater,enriched
WBGene00009008,greater,enriched
WBGene00008273,greater,enriched
WBGene00044241,greater,enriched
WBGene00006438,greater,enriched
WBGene00009077,greater,enriched
WBGene00003958,greater,enriched
WBGene00003957,greater,enriched
WBGene00009877,greater,enriched
WBGene00009882,greater,enriched
WBGene00009883,greater,enriched
WBGene00011856,greater,enriched
WBGene00010150,greater,enriched
WBGene00007885,greater,enriched
WBGene00005003,greater,enriched
WBGene00044107,greater,enriched
WBGene00010274,greater,enriched
WBGene00010277,greater,enriched
WBGene00002090,greater,enriched
WBGene00001396,greater,enriched
WBGene00010637,greater,enriched
WBGene00009686,greater,enriched
WBGene00001158,greater,enriched
WBGene00001157,greater,enriched
WBGene00008506,greater,enriched
WBGene00012781,greater,enriched
WBGene00012782,greater,enriched
WBGene00012786,greater,enriched
WBGene00011222,greater,enriched
WBGene00008730,greater,enriched
WBGene00008731,greater,enriched
WBGene00008485,greater,enriched
WBGene00008486,greater,enriched
WBGene00011181,greater,enriched
WBGene00011182,greater,enriched
WBGene00001476,greater,enriched
WBGene00011291,greater,enriched
WBGene00012013,greater,enriched
WBGene00014669,greater,enriched
WBGene00008774,greater,enriched
WBGene00044784,greater,enriched
WBGene00011480,greater,enriched
WBGene00011130,greater,enriched
WBGene00007808,greater,enriched
WBGene00007336,greater,enriched
WBGene00001795,greater,enriched
WBGene00007335,greater,enriched
WBGene00010046,greater,enriched
WBGene00010047,greater,enriched
WBGene00007112,greater,enriched
WBGene00001922,greater,enriched
WBGene00001932,greater,enriched
WBGene00001940,greater,enriched
WBGene00003093,greater,enriched
WBGene00003094,greater,enriched
WBGene00011725,greater,enriched
WBGene00001398,greater,enriched
WBGene00011738,greater,enriched
WBGene00016583,greater,enriched
WBGene00016585,greater,enriched
WBGene00019579,greater,enriched
WBGene00019580,greater,enriched
WBGene00008584,greater,enriched
WBGene00003995,greater,enriched
WBGene00011940,greater,enriched
WBGene00008553,greater,enriched
WBGene00004030,greater,enriched
WBGene00005153,greater,enriched
WBGene00014138,greater,enriched
WBGene00014132,greater,enriched
