WBGeneID,altHyp,intestine_expression
WBGene00021408,greater,enriched
WBGene00021404,greater,enriched
WBGene00021397,greater,enriched
WBGene00019298,greater,enriched
WBGene00001099,greater,enriched
WBGene00017578,greater,enriched
WBGene00017574,greater,enriched
WBGene00022047,greater,enriched
WBGene00002041,greater,enriched
WBGene00044457,greater,enriched
WBGene00004427,greater,enriched
WBGene00044723,greater,enriched
WBGene00019659,greater,enriched
WBGene00019660,greater,enriched
WBGene00018931,greater,enriched
WBGene00044757,greater,enriched
WBGene00019068,greater,enriched
WBGene00016797,greater,enriched
WBGene00021123,greater,enriched
WBGene00009522,greater,enriched
WBGene00009523,greater,enriched
WBGene00009515,greater,enriched
WBGene00022307,greater,enriched
WBGene00016425,greater,enriched
WBGene00016424,greater,enriched
WBGene00021519,greater,enriched
WBGene00003682,greater,enriched
WBGene00016027,greater,enriched
WBGene00022076,greater,enriched
WBGene00022382,greater,enriched
WBGene00045397,greater,enriched
WBGene00021875,greater,enriched
WBGene00044488,greater,enriched
WBGene00021873,greater,enriched
WBGene00021879,greater,enriched
WBGene00021895,greater,enriched
WBGene00021872,greater,enriched
WBGene00015038,greater,enriched
WBGene00019546,greater,enriched
WBGene00000009,greater,enriched
WBGene00018146,greater,enriched
WBGene00018971,greater,enriched
WBGene00021582,greater,enriched
WBGene00021580,greater,enriched
WBGene00021583,greater,enriched
WBGene00021585,greater,enriched
WBGene00271795,greater,enriched
WBGene00006951,greater,enriched
WBGene00018645,greater,enriched
WBGene00018646,greater,enriched
WBGene00019931,greater,enriched
WBGene00219216,greater,enriched
WBGene00017934,greater,enriched
WBGene00017487,greater,enriched
WBGene00020972,greater,enriched
WBGene00019719,greater,enriched
WBGene00271788,greater,enriched
WBGene00019720,greater,enriched
WBGene00019717,greater,enriched
WBGene00022680,greater,enriched
WBGene00022683,greater,enriched
WBGene00022682,greater,enriched
WBGene00044481,greater,enriched
WBGene00017901,greater,enriched
WBGene00017591,greater,enriched
WBGene00003694,greater,enriched
WBGene00019166,greater,enriched
WBGene00021178,greater,enriched
WBGene00016542,greater,enriched
WBGene00016664,greater,enriched
WBGene00015680,greater,enriched
WBGene00016721,greater,enriched
WBGene00019205,greater,enriched
WBGene00019515,greater,enriched
WBGene00019516,greater,enriched
WBGene00016762,greater,enriched
WBGene00016760,greater,enriched
WBGene00016759,greater,enriched
WBGene00016763,greater,enriched
WBGene00016758,greater,enriched
WBGene00016757,greater,enriched
WBGene00016756,greater,enriched
WBGene00019058,greater,enriched
WBGene00019057,greater,enriched
WBGene00044306,greater,enriched
WBGene00019060,greater,enriched
WBGene00000005,greater,enriched
WBGene00020468,greater,enriched
WBGene00006416,greater,enriched
WBGene00022245,greater,enriched
WBGene00022246,greater,enriched
WBGene00022252,greater,enriched
WBGene00004169,greater,enriched
WBGene00006621,greater,enriched
WBGene00016613,greater,enriched
WBGene00002274,greater,enriched
WBGene00017480,greater,enriched
WBGene00015284,greater,enriched
WBGene00015279,greater,enriched
WBGene00015280,greater,enriched
WBGene00015930,greater,enriched
WBGene00015931,greater,enriched
WBGene00015933,greater,enriched
WBGene00019215,greater,enriched
WBGene00019213,greater,enriched
WBGene00020688,greater,enriched
WBGene00004473,greater,enriched
WBGene00016595,greater,enriched
WBGene00016594,greater,enriched
