WBGeneID,wt_sorted_1,wt_sorted_2,wt_sorted_3,wt_sorted_4,elt2D_sorted_1,elt2D_sorted_2,elt2D_sorted_3,elt2D_sorted_4
WBGene00000001,532,462,458,525,546,919,575,661
WBGene00000002,192,165,185,195,169,226,157,147
WBGene00000003,577,425,649,694,371,557,405,429
WBGene00000004,2111,1794,2131,1999,1158,1832,1233,1288
WBGene00000005,11,8,13,6,9,11,8,10
WBGene00000007,71,82,69,92,19,36,15,18
WBGene00000008,11,6,6,6,1,0,1,0
WBGene00000009,14,11,9,6,19,36,21,32
WBGene00000010,105,128,124,144,205,333,261,242
WBGene00000012,3,0,3,1,2,4,2,4
WBGene00000013,0,7,0,4,3,14,7,3
WBGene00000015,14,15,1,14,3,4,6,1
WBGene00000016,180,215,97,174,112,173,98,81
WBGene00000017,533,584,369,661,256,396,236,179
WBGene00000018,920,735,841,768,806,1421,802,972
WBGene00000020,1102,916,941,1000,1994,3026,1870,2093
WBGene00000022,991,743,916,801,5955,7865,5965,5304
WBGene00000023,4,1,2,3,3,3,1,5
WBGene00000031,2,0,0,0,0,0,1,2
WBGene00000033,0,0,1,2,3,4,7,3
WBGene00000034,1,1,1,0,15,29,23,24
WBGene00000035,222,218,229,225,256,392,255,286
WBGene00000036,1516,1348,1445,1377,1018,1625,1070,1041
WBGene00000037,308,419,237,351,321,555,334,400
WBGene00000038,8,12,10,10,10,31,10,31
WBGene00000039,11,8,25,13,7,22,15,8
WBGene00000040,2881,2871,3103,2946,2248,3448,2494,2336
WBGene00000041,8675,6928,8709,10924,9244,13819,9976,10025
WBGene00000042,243,167,216,175,107,148,108,83
WBGene00000043,10,27,9,25,13,28,10,14
WBGene00000044,292,230,297,274,106,158,102,96
WBGene00000045,6,13,12,17,9,16,2,6
WBGene00000046,125,71,114,147,121,146,94,112
WBGene00000047,212,195,223,187,217,374,242,273
WBGene00000048,63,62,62,65,41,52,48,37
WBGene00000049,15,9,16,6,14,20,15,11
WBGene00000050,23,28,30,30,12,29,18,9
WBGene00000051,267,209,259,218,141,205,146,124
WBGene00000053,62,57,54,56,26,39,25,29
WBGene00000054,109,108,77,101,68,111,53,58
WBGene00000057,61,69,86,86,50,108,62,63
WBGene00000058,497,405,440,475,189,298,210,231
WBGene00000059,50,57,39,41,36,77,38,45
WBGene00000060,171,133,155,179,52,126,82,65
WBGene00000061,46,56,72,78,24,59,26,29
WBGene00000062,280,211,240,244,127,166,122,119
WBGene00000064,588,509,608,674,1100,1634,1081,1173
WBGene00000066,6108,5418,7762,5145,5090,7972,5849,6600
WBGene00000067,2297,1973,2259,1932,8192,11893,8341,8392
WBGene00000068,1617,1341,1787,1421,1008,1589,1147,1038
WBGene00000069,458,434,428,433,278,503,299,306
WBGene00000070,1313,1098,1212,1165,1161,1729,1323,1225
WBGene00000071,325,272,336,292,137,230,142,144
WBGene00000072,906,757,871,890,538,712,556,536
WBGene00000073,486,419,509,522,407,595,458,455
WBGene00000074,574,519,498,458,853,1233,760,886
WBGene00000075,131,124,103,113,149,219,158,160
WBGene00000079,769,667,693,777,888,1342,855,873
WBGene00000080,528,556,566,653,588,889,552,603
WBGene00000081,2213,1710,1813,1758,465,972,466,620
WBGene00000082,320,213,245,263,280,323,298,256
WBGene00000083,2929,2457,3304,2777,1216,1736,1326,1277
WBGene00000084,346,288,313,263,590,822,540,657
WBGene00000085,154,121,155,140,95,170,92,109
WBGene00000086,1330,1173,1249,1122,1198,1854,1204,1278
WBGene00000088,501,337,434,416,735,1054,813,671
WBGene00000089,552,438,553,515,363,537,389,310
WBGene00000090,542,488,537,507,610,933,619,667
WBGene00000093,151,154,138,152,150,232,153,136
WBGene00000094,156,136,148,197,99,188,127,153
WBGene00000095,1296,1104,1138,1294,928,1462,934,911
WBGene00000096,362,337,375,364,193,393,196,241
WBGene00000097,436,442,348,556,424,678,393,469
WBGene00000098,162,146,198,173,179,295,195,227
WBGene00000099,65,53,85,68,65,126,59,68
WBGene00000100,4392,4177,4363,4443,5113,8067,5080,5422
WBGene00000101,2023,1846,1956,1993,1691,2646,1629,1869
WBGene00000102,1804,1818,1511,1830,1851,2639,1720,1956
WBGene00000103,1239,1083,1071,1280,1182,1596,1003,1075
WBGene00000105,4806,4388,4760,4028,4530,6874,4630,5052
WBGene00000106,710,658,758,649,915,1450,1001,953
WBGene00000107,1592,1776,1432,1998,979,1388,1149,988
WBGene00000109,980,961,829,837,565,931,516,564
WBGene00000110,5562,3072,3708,3888,3023,5191,3680,3982
WBGene00000111,1789,1253,1698,1853,949,1241,1105,1143
WBGene00000112,905,923,996,801,861,1563,1077,950
WBGene00000113,343,326,310,328,444,676,484,386
WBGene00000114,23965,26102,24256,17594,31537,56286,34179,35703
WBGene00000115,1194,1121,1208,1080,793,1144,822,763
WBGene00000116,995,667,730,1030,607,855,608,640
WBGene00000117,783,815,720,797,668,994,673,688
WBGene00000118,2344,2285,2337,2201,2453,3691,2610,2394
WBGene00000120,369,378,393,438,450,800,515,476
WBGene00000121,181,152,166,202,229,381,273,245
WBGene00000122,1786,1551,1655,1702,1337,2259,1440,1495
WBGene00000123,1593,1551,1561,1567,2376,3396,2312,2087
WBGene00000133,521,335,546,638,184,359,195,254
WBGene00000134,86,72,70,82,52,69,40,63
WBGene00000135,363,348,344,338,231,381,235,227
WBGene00000136,787,673,786,772,122,164,141,118
WBGene00000137,294,248,240,308,255,435,236,224
WBGene00000138,426,566,448,509,473,737,445,526
WBGene00000139,72,71,67,63,37,30,25,19
WBGene00000140,586,619,545,630,691,1104,613,706
WBGene00000142,527,517,524,544,457,629,439,470
WBGene00000143,338,289,287,348,364,544,321,382
WBGene00000144,7,7,5,15,29,46,33,40
WBGene00000145,169,172,158,208,122,183,116,120
WBGene00000146,4169,3618,3733,3769,2645,4291,2782,2867
WBGene00000147,401,390,425,419,316,482,299,329
WBGene00000148,728,631,679,570,596,830,505,601
WBGene00000149,11177,11226,11572,10371,11473,19278,11881,12918
WBGene00000150,1025,1061,1006,1033,1225,1828,1085,1263
WBGene00000151,431,417,419,448,432,626,405,435
WBGene00000155,508,544,512,563,546,919,634,651
WBGene00000156,1729,1314,1655,1737,1580,2220,1552,1515
WBGene00000157,323,273,234,366,207,350,227,216
WBGene00000158,931,929,949,890,1157,1723,1114,1180
WBGene00000159,643,642,543,631,590,913,630,559
WBGene00000160,1351,1292,1342,1253,1641,2590,1751,1674
WBGene00000161,1725,1630,1877,1721,1399,2193,1530,1474
WBGene00000162,699,654,675,667,653,1058,679,699
WBGene00000163,1211,1129,1103,1212,1196,1768,1138,1194
WBGene00000164,429,407,397,462,311,537,316,332
WBGene00000165,205,184,176,236,210,300,205,201
WBGene00000166,438,374,363,362,193,326,175,207
WBGene00000168,43,26,25,25,43,60,36,39
WBGene00000169,369,464,305,506,274,656,301,337
WBGene00000170,8463,7831,10018,8008,6857,11243,8258,8267
WBGene00000171,13,43,12,36,11,14,6,5
WBGene00000172,395,396,284,365,443,819,402,540
WBGene00000173,7,6,10,15,4,6,6,3
WBGene00000174,15,25,12,23,20,44,15,20
WBGene00000175,1390,1708,1495,2015,1880,3140,2063,2226
WBGene00000176,111,125,105,113,164,259,151,166
WBGene00000177,120,121,102,110,101,133,85,90
WBGene00000178,787,775,720,823,911,1242,795,801
WBGene00000179,327,296,350,369,391,644,401,409
WBGene00000180,581,490,538,600,544,840,569,519
WBGene00000181,1043,1116,1094,1097,1060,1608,1113,1026
WBGene00000182,3671,3381,3481,3421,3427,5373,3645,3775
WBGene00000183,2835,2865,2662,2893,3835,5959,3862,3860
WBGene00000184,466,443,427,436,346,551,363,355
WBGene00000185,26,18,31,18,30,24,27,29
WBGene00000186,1395,1212,1497,1222,1479,2093,1356,1505
WBGene00000187,468,426,430,517,484,694,463,447
WBGene00000188,98,142,127,159,75,179,66,92
WBGene00000189,119,102,82,127,102,156,92,118
WBGene00000190,0,1,3,6,16,13,9,9
WBGene00000192,976,867,951,960,1044,1597,1019,1123
WBGene00000193,59,52,39,56,32,53,29,27
WBGene00000195,524,506,620,538,523,844,525,578
WBGene00000196,449,363,312,398,350,535,318,346
WBGene00000197,1402,1477,1361,1345,2330,3871,2474,2402
WBGene00000198,1573,1399,1721,1495,2120,3455,2330,2215
WBGene00000199,898,848,806,805,1305,1977,1285,1254
WBGene00000200,1149,1018,1061,1177,2013,2823,1946,1993
WBGene00000201,974,997,935,948,1455,2202,1482,1473
WBGene00000202,229,217,221,214,230,338,228,228
WBGene00000203,206,179,238,226,373,608,365,384
WBGene00000204,630,607,601,633,865,1376,841,847
WBGene00000205,146,156,197,171,345,509,322,313
WBGene00000206,225,185,196,172,275,468,321,348
WBGene00000207,5495,5915,6085,5102,7133,11239,8116,8014
WBGene00000208,228,202,189,186,362,541,324,328
WBGene00000209,406,439,480,399,575,923,639,603
WBGene00000210,2229,2563,2297,2336,2198,3562,2430,2382
WBGene00000211,211,187,155,251,214,260,194,207
WBGene00000212,200,301,200,252,336,537,381,383
WBGene00000213,55,100,60,44,1,1,0,1
WBGene00000214,27538,33017,33646,20809,2545,5923,2770,4059
WBGene00000215,2124,2463,1988,2016,52,114,104,91
WBGene00000216,7571,9541,7476,6060,8583,16060,10381,10063
WBGene00000217,2841,2804,2886,2970,3222,5227,3526,3250
WBGene00000218,7535,9670,7964,5565,1169,2430,1373,1471
WBGene00000219,10639,17454,10643,8163,35977,70069,38985,47283
WBGene00000220,19,18,22,20,10,25,23,22
WBGene00000221,2540,2180,2598,2720,1723,2832,2036,2016
WBGene00000222,735,660,658,641,655,995,673,657
WBGene00000223,5211,4765,4686,4817,4089,6618,4491,4628
WBGene00000224,1998,2102,2016,2080,2172,3588,2286,2284
WBGene00000225,1520,1157,1522,1483,1031,1430,1104,1131
WBGene00000226,1051,917,1012,964,899,1311,841,976
WBGene00000228,916,931,1033,885,1747,2745,1941,1802
WBGene00000229,15226,16943,17427,14672,21595,35360,25110,25080
WBGene00000230,6751,7470,7129,6561,7009,12116,7997,7981
WBGene00000231,1379,1271,1340,1246,2094,3252,2079,2275
WBGene00000232,732,742,700,761,421,663,356,481
WBGene00000233,1504,998,1291,1483,584,1056,581,646
WBGene00000235,340,376,327,425,539,886,524,534
WBGene00000236,155,149,145,172,174,286,181,175
WBGene00000237,847,738,916,674,1196,1889,1180,1279
WBGene00000238,1156,943,1059,1001,726,962,690,713
WBGene00000239,390,432,368,362,192,369,273,233
WBGene00000240,5701,7465,7121,5459,3851,5646,3855,3417
WBGene00000241,140,148,123,121,65,163,78,92
WBGene00000242,140,149,147,180,66,132,68,98
WBGene00000244,340,323,284,326,139,240,154,177
WBGene00000245,895,828,830,1323,627,959,638,566
WBGene00000246,397,359,329,342,231,316,193,281
WBGene00000247,291,237,271,305,445,715,452,457
WBGene00000248,1145,1006,1129,1209,808,1141,833,720
WBGene00000249,434,398,512,495,314,460,281,301
WBGene00000250,13,14,13,16,42,58,58,53
WBGene00000251,12,7,5,13,3,13,5,5
WBGene00000252,1,2,0,2,1,11,3,2
WBGene00000253,654,636,600,611,406,556,390,423
WBGene00000254,3101,2563,3055,2668,2798,4234,2774,2678
WBGene00000255,0,3,1,2,2,2,1,1
WBGene00000257,232,255,246,261,453,655,418,422
WBGene00000259,1037,868,952,1092,709,1109,652,797
WBGene00000262,152,173,141,195,116,205,117,120
WBGene00000263,3520,3852,3755,3634,3148,5336,3566,3540
WBGene00000264,21,32,41,48,65,115,71,81
WBGene00000265,57,60,64,63,122,177,96,103
WBGene00000266,504,543,445,488,705,1102,728,705
WBGene00000267,208,166,173,168,250,398,275,297
WBGene00000268,1076,873,924,939,1057,1618,990,919
WBGene00000269,264,257,206,222,269,427,281,259
WBGene00000270,90,69,78,77,99,158,86,103
WBGene00000272,25,14,16,9,7,7,11,6
WBGene00000273,34751,30818,30010,25599,18681,30165,22072,20794
WBGene00000274,268,242,253,266,471,709,476,502
WBGene00000275,272,295,363,405,342,590,390,353
WBGene00000276,10074,10115,9060,9637,8711,14018,8821,9351
WBGene00000277,19401,20672,19761,18159,11908,21956,13360,13998
WBGene00000280,397,378,367,447,199,330,202,210
WBGene00000281,1493,1452,1550,1345,1444,2690,1641,1775
WBGene00000282,4440,4661,4290,5313,4509,7587,5483,4989
WBGene00000283,337,516,405,440,475,950,529,562
WBGene00000284,573,550,567,558,520,913,519,557
WBGene00000285,396,351,321,524,724,1058,612,631
WBGene00000286,2452,1944,2218,2336,1476,2094,1345,1393
WBGene00000287,35,36,42,66,53,93,36,53
WBGene00000288,1192,1092,1169,1227,566,975,565,647
WBGene00000289,995,973,895,938,1114,1865,1098,1222
WBGene00000292,1661,1533,1512,1518,1791,2663,1737,1811
WBGene00000293,2472,2400,2279,2403,2604,4383,2710,2661
WBGene00000294,791,757,806,697,1228,1865,1210,1262
WBGene00000295,52,91,35,45,74,168,56,72
WBGene00000296,7,22,7,17,7,30,11,11
WBGene00000298,1911,1918,1876,1961,1150,1681,1072,1051
WBGene00000301,728,874,728,760,495,1003,571,623
WBGene00000302,564,537,311,520,10,34,20,29
WBGene00000366,7511,6807,6422,7172,6087,9200,5698,6020
WBGene00000368,840,737,799,779,655,1118,747,741
WBGene00000369,803,835,838,713,844,1414,936,948
WBGene00000370,4290,3667,3882,4083,4142,6510,4679,4536
WBGene00000371,5977,6483,5953,6328,5361,8619,5888,5601
WBGene00000372,589,431,280,483,501,388,191,257
WBGene00000373,335,371,418,480,214,284,199,223
WBGene00000375,218,200,220,227,109,146,116,122
WBGene00000377,3695,3484,3426,3778,4606,6989,4900,4709
WBGene00000378,3106,2736,2854,2783,3382,5342,3448,3665
WBGene00000379,5360,5090,5011,4925,5996,9564,6058,6138
WBGene00000380,7387,6962,6765,7407,7463,11710,8361,7728
WBGene00000381,2153,1804,1932,2103,2599,3753,2721,2566
WBGene00000382,236,190,289,273,305,482,261,291
WBGene00000383,4068,3676,3630,3961,3656,5604,3648,3898
WBGene00000386,203,154,195,177,191,368,199,235
WBGene00000387,144,187,214,185,166,363,186,244
WBGene00000390,2034,1687,1865,1790,2269,3510,2266,2375
WBGene00000391,717,680,579,727,615,952,598,644
WBGene00000392,85,87,95,94,87,129,111,94
WBGene00000393,1436,975,1181,1211,1751,2462,1743,1592
WBGene00000395,920,791,1057,997,296,398,378,308
WBGene00000396,1912,1790,1935,2309,1113,1323,1003,1106
WBGene00000397,14,13,8,9,58,189,60,97
WBGene00000399,1,2,0,2,1,4,2,5
WBGene00000401,126,102,117,73,69,102,66,58
WBGene00000402,0,1,3,2,1,6,1,2
WBGene00000403,11735,11530,12265,10809,6936,12305,7544,7396
WBGene00000405,174,255,192,260,320,547,348,325
WBGene00000406,273,217,247,249,139,200,149,146
WBGene00000407,295,253,215,270,248,390,298,278
WBGene00000408,281,202,277,256,317,437,299,299
WBGene00000409,515,415,435,474,491,790,443,547
WBGene00000410,481,493,557,477,510,836,494,558
WBGene00000411,521,516,584,636,418,718,472,448
WBGene00000412,109,99,80,129,46,60,54,53
WBGene00000413,170,142,140,164,136,208,153,155
WBGene00000414,1790,1569,1583,1756,1264,2041,1284,1459
WBGene00000415,1008,1138,967,952,1463,2335,1498,1440
WBGene00000416,192,187,183,159,224,383,263,246
WBGene00000417,71,73,51,90,84,156,109,101
WBGene00000418,297,334,296,367,277,433,276,271
WBGene00000419,1168,1105,1061,1179,1152,1513,983,1121
WBGene00000420,397,361,314,384,616,989,607,648
WBGene00000421,2130,1865,1940,1940,2137,2966,1853,2079
WBGene00000422,27,27,28,37,21,22,12,24
WBGene00000423,156,185,154,176,200,327,199,192
WBGene00000424,593,541,576,586,651,916,562,641
WBGene00000425,853,675,968,799,244,297,273,249
WBGene00000426,912,743,818,836,820,1187,778,854
