wormbase_gseq,WBGeneID,wikigene_name,status,description
Y110A7A.10,WBGene00000001,aap-1,lessAbs,unchanged_ELT2_minus
F27C8.1,WBGene00000002,aat-1,lessAbs,unchanged_ELT2_minus
F07C3.7,WBGene00000003,aat-2,lessAbs,unchanged_ELT2_minus
F52H2.2,WBGene00000004,aat-3,lessAbs,unchanged_ELT2_minus
T11F9.4,WBGene00000007,aat-6,less,down_ELT2_minus
M79.1,WBGene00000018,abl-1,lessAbs,unchanged_ELT2_minus
Y39D8C.1,WBGene00000022,abt-4,greater,up_ELT2_minus
W09B12.1,WBGene00000035,ace-1,lessAbs,unchanged_ELT2_minus
Y44E3A.2,WBGene00000036,ace-2,lessAbs,unchanged_ELT2_minus
Y48B6A.8,WBGene00000037,ace-3,lessAbs,unchanged_ELT2_minus
ZK455.1,WBGene00000040,aco-1,lessAbs,unchanged_ELT2_minus
F54H12.1,WBGene00000041,aco-2,lessAbs,unchanged_ELT2_minus
T09A5.3,WBGene00000046,acr-7,lessAbs,unchanged_ELT2_minus
ZC504.2,WBGene00000047,acr-8,lessAbs,unchanged_ELT2_minus
F28F8.1,WBGene00000057,acr-18,lessAbs,unchanged_ELT2_minus
R06A4.10,WBGene00000059,acr-20,lessAbs,unchanged_ELT2_minus
M03F4.2,WBGene00000066,act-4,lessAbs,unchanged_ELT2_minus
T25C8.2,WBGene00000067,act-5,greater,up_ELT2_minus
F17C8.1,WBGene00000068,acy-1,lessAbs,unchanged_ELT2_minus
C10F3.3,WBGene00000069,acy-2,lessAbs,unchanged_ELT2_minus
C44F1.5,WBGene00000070,acy-3,lessAbs,unchanged_ELT2_minus
F39C12.2,WBGene00000072,add-1,lessAbs,unchanged_ELT2_minus
F57F5.4,WBGene00000073,add-2,lessAbs,unchanged_ELT2_minus
ZK154.7,WBGene00000075,adm-4,lessAbs,unchanged_ELT2_minus
H15N14.1,WBGene00000079,adr-1,lessAbs,unchanged_ELT2_minus
T20H4.4,WBGene00000080,adr-2,lessAbs,unchanged_ELT2_minus
Y50D7A.7,WBGene00000081,ads-1,less,down_ELT2_minus
C02B4.1,WBGene00000082,adt-1,lessAbs,unchanged_ELT2_minus
T14B1.2,WBGene00000085,aex-2,lessAbs,unchanged_ELT2_minus
C02H7.3,WBGene00000086,aex-3,lessAbs,unchanged_ELT2_minus
Y87G2A.4,WBGene00000089,aex-6,lessAbs,unchanged_ELT2_minus
B0334.8,WBGene00000090,age-1,lessAbs,unchanged_ELT2_minus
Y62E10A.5,WBGene00000093,agt-1,lessAbs,unchanged_ELT2_minus
F09E5.13,WBGene00000094,agt-2,lessAbs,unchanged_ELT2_minus
C25A1.11,WBGene00000095,aha-1,lessAbs,unchanged_ELT2_minus
C41G7.5,WBGene00000096,ahr-1,lessAbs,unchanged_ELT2_minus
F58E10.4,WBGene00000097,aip-1,lessAbs,unchanged_ELT2_minus
K07C11.2,WBGene00000098,air-1,lessAbs,unchanged_ELT2_minus
B0207.4,WBGene00000099,air-2,lessAbs,unchanged_ELT2_minus
C25A11.4,WBGene00000100,ajm-1,lessAbs,unchanged_ELT2_minus
D1022.7,WBGene00000101,aka-1,lessAbs,unchanged_ELT2_minus
C12D8.10,WBGene00000102,akt-1,lessAbs,unchanged_ELT2_minus
F28H6.1,WBGene00000103,akt-2,lessAbs,unchanged_ELT2_minus
F48F7.1,WBGene00000105,alg-1,lessAbs,unchanged_ELT2_minus
T07D3.7,WBGene00000106,alg-2,lessAbs,unchanged_ELT2_minus
F54D8.3,WBGene00000107,alh-1,lessAbs,unchanged_ELT2_minus
F36H1.6,WBGene00000109,alh-3,lessAbs,unchanged_ELT2_minus
T05H4.13,WBGene00000110,alh-4,lessAbs,unchanged_ELT2_minus
T08B1.3,WBGene00000111,alh-5,lessAbs,unchanged_ELT2_minus
F56D12.1,WBGene00000112,alh-6,lessAbs,unchanged_ELT2_minus
F45H10.1,WBGene00000113,alh-7,lessAbs,unchanged_ELT2_minus
F13D12.4,WBGene00000114,alh-8,lessAbs,unchanged_ELT2_minus
F01F1.6,WBGene00000115,alh-9,lessAbs,unchanged_ELT2_minus
C54D1.4,WBGene00000116,alh-10,lessAbs,unchanged_ELT2_minus
F42G9.5,WBGene00000117,alh-11,lessAbs,unchanged_ELT2_minus
Y69F12A.2,WBGene00000118,alh-12,lessAbs,unchanged_ELT2_minus
C01F6.5,WBGene00000120,aly-1,lessAbs,unchanged_ELT2_minus
F23B2.6,WBGene00000121,aly-2,lessAbs,unchanged_ELT2_minus
M18.7,WBGene00000122,aly-3,lessAbs,unchanged_ELT2_minus
F36A4.7,WBGene00000123,ama-1,lessAbs,unchanged_ELT2_minus
M195.3,WBGene00000135,amt-3,lessAbs,unchanged_ELT2_minus
C05E11.5,WBGene00000136,amt-4,less,down_ELT2_minus
R13G10.2,WBGene00000137,amx-1,lessAbs,unchanged_ELT2_minus
B0019.1,WBGene00000138,amx-2,lessAbs,unchanged_ELT2_minus
ZK973.6,WBGene00000140,anc-1,lessAbs,unchanged_ELT2_minus
