val,Label,Area,Mean,Min,Max,IntDen,RawIntDen,rep,gene,type,RNAi
1,220711_CEBP1gfp_ELT2rnai_worm10_PRO.tif:intestine:1,58959,575.994,386,960,33960023,33960023,2,CEBP1,intestine,ELT2
2,220711_CEBP1gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,144.226,134,163,360565,360565,2,CEBP1,background,ELT2
3,220711_CEBP1gfp_ELT2rnai_worm10_PRO.tif:background:1,2300,134.613,127,144,309609,309609,2,CEBP1,background,ELT2
4,220711_CEBP1gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,143.629,134,157,359073,359073,2,CEBP1,background,ELT2
5,220711_CEBP1gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,144.66,136,160,361651,361651,2,CEBP1,background,ELT2
6,220711_CEBP1gfp_ELT2rnai_worm11_PRO.tif:intestine:1,74475,739.097,435,2149,55044254,55044254,2,CEBP1,intestine,ELT2
7,220711_CEBP1gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,134.345,128,145,335863,335863,2,CEBP1,background,ELT2
8,220711_CEBP1gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,146.229,136,160,365573,365573,2,CEBP1,background,ELT2
9,220711_CEBP1gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,152.889,142,174,382223,382223,2,CEBP1,background,ELT2
10,220711_CEBP1gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,142.873,133,160,357182,357182,2,CEBP1,background,ELT2
11,220711_CEBP1gfp_ELT2rnai_worm12_PRO.tif:intestine:1,59047,806.792,536,1977,47638648,47638648,2,CEBP1,intestine,ELT2
12,220711_CEBP1gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,146.072,135,160,365179,365179,2,CEBP1,background,ELT2
13,220711_CEBP1gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,159.096,144,182,397739,397739,2,CEBP1,background,ELT2
14,220711_CEBP1gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,167.782,146,201,419456,419456,2,CEBP1,background,ELT2
15,220711_CEBP1gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,165.834,149,191,414586,414586,2,CEBP1,background,ELT2
16,220711_CEBP1gfp_ELT2rnai_worm13_PRO.tif:intestine:1,54684,780.869,465,2070,42701020,42701020,2,CEBP1,intestine,ELT2
17,220711_CEBP1gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,146.17,134,162,365424,365424,2,CEBP1,background,ELT2
18,220711_CEBP1gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,151.199,140,166,377997,377997,2,CEBP1,background,ELT2
19,220711_CEBP1gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,148.144,137,166,370359,370359,2,CEBP1,background,ELT2
20,220711_CEBP1gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,154.76,141,170,386900,386900,2,CEBP1,background,ELT2
21,220711_CEBP1gfp_ELT2rnai_worm14_PRO.tif:intestine:1,74960,698.036,375,999,52324774,52324774,2,CEBP1,intestine,ELT2
22,220711_CEBP1gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,198.322,178,227,495804,495804,2,CEBP1,background,ELT2
23,220711_CEBP1gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,147.648,138,162,369119,369119,2,CEBP1,background,ELT2
24,220711_CEBP1gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,145.506,136,158,363765,363765,2,CEBP1,background,ELT2
25,220711_CEBP1gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,168.964,148,206,422410,422410,2,CEBP1,background,ELT2
26,220711_CEBP1gfp_ELT2rnai_worm15_PRO.tif:intestine:1,77326,641.251,352,2062,49585410,49585410,2,CEBP1,intestine,ELT2
27,220711_CEBP1gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,145.947,136,161,364868,364868,2,CEBP1,background,ELT2
28,220711_CEBP1gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,161.929,152,173,404822,404822,2,CEBP1,background,ELT2
29,220711_CEBP1gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,141.588,135,151,353970,353970,2,CEBP1,background,ELT2
30,220711_CEBP1gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,146.32,135,166,365801,365801,2,CEBP1,background,ELT2
31,220711_CEBP1gfp_ELT2rnai_worm16_PRO.tif:intestine:1,66182,811.771,521,1999,53724598,53724598,2,CEBP1,intestine,ELT2
32,220711_CEBP1gfp_ELT2rnai_worm16_PRO.tif:background:1,2500,207.032,187,234,517581,517581,2,CEBP1,background,ELT2
33,220711_CEBP1gfp_ELT2rnai_worm16_PRO.tif:background:1,2500,207.261,189,232,518152,518152,2,CEBP1,background,ELT2
34,220711_CEBP1gfp_ELT2rnai_worm16_PRO.tif:background:1,2500,151.586,138,168,378966,378966,2,CEBP1,background,ELT2
35,220711_CEBP1gfp_ELT2rnai_worm16_PRO.tif:background:1,2500,156.392,140,180,390979,390979,2,CEBP1,background,ELT2
36,220711_CEBP1gfp_ELT2rnai_worm1_PRO.tif:intestine:1,83068,519.393,366,1239,43144927,43144927,2,CEBP1,intestine,ELT2
37,220711_CEBP1gfp_ELT2rnai_worm1_PRO.tif:background:1,4150,139.926,131,158,580694,580694,2,CEBP1,background,ELT2
38,220711_CEBP1gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,136.568,130,149,341419,341419,2,CEBP1,background,ELT2
39,220711_CEBP1gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,134.633,128,144,336582,336582,2,CEBP1,background,ELT2
40,220711_CEBP1gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,176.195,156,206,440487,440487,2,CEBP1,background,ELT2
41,220711_CEBP1gfp_ELT2rnai_worm2_PRO.tif:intestine:1,84252,501.937,355,781,42289223,42289223,2,CEBP1,intestine,ELT2
42,220711_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,135.044,128,147,337609,337609,2,CEBP1,background,ELT2
43,220711_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,144.98,134,298,362451,362451,2,CEBP1,background,ELT2
44,220711_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,133.34,126,145,333349,333349,2,CEBP1,background,ELT2
45,220711_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,144.418,134,157,361044,361044,2,CEBP1,background,ELT2
46,220711_CEBP1gfp_ELT2rnai_worm3_PRO.tif:intestine:1,72917,570.881,335,1639,41626934,41626934,2,CEBP1,intestine,ELT2
47,220711_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,142.999,134,159,357498,357498,2,CEBP1,background,ELT2
48,220711_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,134.252,127,146,335631,335631,2,CEBP1,background,ELT2
49,220711_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,148.996,138,164,372491,372491,2,CEBP1,background,ELT2
50,220711_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,138.132,132,147,345331,345331,2,CEBP1,background,ELT2
51,220711_CEBP1gfp_ELT2rnai_worm4_PRO.tif:intestine:1,72494,762.001,451,1787,55240519,55240519,2,CEBP1,intestine,ELT2
52,220711_CEBP1gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,151.484,138,169,378711,378711,2,CEBP1,background,ELT2
53,220711_CEBP1gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,141.875,133,155,354687,354687,2,CEBP1,background,ELT2
54,220711_CEBP1gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,153.094,141,170,382736,382736,2,CEBP1,background,ELT2
55,220711_CEBP1gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,139.371,131,153,348428,348428,2,CEBP1,background,ELT2
56,220711_CEBP1gfp_ELT2rnai_worm5_PRO.tif:intestine:1,54561,727.063,453,1703,39669281,39669281,2,CEBP1,intestine,ELT2
57,220711_CEBP1gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,149.156,138,165,372890,372890,2,CEBP1,background,ELT2
58,220711_CEBP1gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,176.683,155,220,441708,441708,2,CEBP1,background,ELT2
59,220711_CEBP1gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,186.162,167,212,465405,465405,2,CEBP1,background,ELT2
60,220711_CEBP1gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,148.849,135,168,372123,372123,2,CEBP1,background,ELT2
61,220711_CEBP1gfp_ELT2rnai_worm6_PRO.tif:intestine:1,72162,498.047,288,1470,35940079,35940079,2,CEBP1,intestine,ELT2
62,220711_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,146.268,136,163,365669,365669,2,CEBP1,background,ELT2
63,220711_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,138.304,129,150,345760,345760,2,CEBP1,background,ELT2
64,220711_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,138.889,130,152,347223,347223,2,CEBP1,background,ELT2
65,220711_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,151.423,141,168,378558,378558,2,CEBP1,background,ELT2
66,220711_CEBP1gfp_ELT2rnai_worm7_PRO.tif:intestine:1,72712,830.044,493,2083,60354173,60354173,2,CEBP1,intestine,ELT2
67,220711_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,184.097,167,201,460242,460242,2,CEBP1,background,ELT2
68,220711_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,157.713,143,178,394283,394283,2,CEBP1,background,ELT2
69,220711_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,159.63,145,184,399075,399075,2,CEBP1,background,ELT2
70,220711_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,164.543,146,198,411358,411358,2,CEBP1,background,ELT2
71,220711_CEBP1gfp_ELT2rnai_worm8_PRO.tif:intestine:1,80467,490.272,347,1299,39450705,39450705,2,CEBP1,intestine,ELT2
72,220711_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,149.173,137,167,372933,372933,2,CEBP1,background,ELT2
73,220711_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,149.173,137,167,372933,372933,2,CEBP1,background,ELT2
74,220711_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,149.173,137,167,372933,372933,2,CEBP1,background,ELT2
