WBGeneID,promoter_status,intestine_expression,elt2_ko,stage
WBGene00011364,bound,enriched,repressed,L1
WBGene00016544,bound,enriched,independent,L1
WBGene00008246,bound,enriched,NA,L1
WBGene00001940,not_bound,enriched,NA,L1
WBGene00007404,not_bound,enriched,activated,L1
WBGene00009854,not_bound,enriched,NA,L1
WBGene00009226,bound,enriched,activated,L1
WBGene00012824,not_bound,enriched,independent,L1
WBGene00023485,bound,enriched,NA,L1
WBGene00185092,bound,enriched,NA,L1
WBGene00017498,not_bound,enriched,NA,L1
WBGene00007692,bound,enriched,activated,L1
WBGene00021586,bound,enriched,activated,L1
WBGene00019146,not_bound,enriched,activated,L1
WBGene00043702,not_bound,enriched,NA,L1
WBGene00001932,not_bound,enriched,NA,L1
WBGene00019273,bound,enriched,NA,L1
WBGene00007725,bound,enriched,independent,L1
WBGene00022574,bound,enriched,activated,L1
WBGene00014666,bound,enriched,activated,L1
WBGene00008486,bound,enriched,repressed,L1
WBGene00020357,bound,enriched,repressed,L1
WBGene00011852,bound,enriched,NA,L1
WBGene00044291,bound,enriched,NA,L1
WBGene00206485,not_bound,enriched,NA,L1
WBGene00010851,not_bound,enriched,independent,L1
WBGene00003957,bound,enriched,activated,L1
WBGene00045338,not_bound,enriched,NA,L1
WBGene00010127,not_bound,enriched,NA,L1
WBGene00015608,not_bound,enriched,independent,L1
WBGene00018645,bound,enriched,NA,L1
WBGene00011213,bound,enriched,activated,L1
WBGene00020358,not_bound,enriched,NA,L1
WBGene00011167,bound,enriched,activated,L1
WBGene00021895,not_bound,enriched,independent,L1
WBGene00016555,bound,enriched,NA,L1
WBGene00012069,bound,enriched,independent,L1
WBGene00019957,bound,enriched,repressed,L1
WBGene00007220,bound,enriched,NA,L1
WBGene00010850,bound,enriched,independent,L1
WBGene00021772,bound,enriched,NA,L1
WBGene00012583,not_bound,enriched,repressed,L1
WBGene00022413,bound,enriched,NA,L1
WBGene00020532,bound,enriched,repressed,L1
WBGene00008194,bound,enriched,independent,L1
WBGene00008596,bound,enriched,NA,L1
WBGene00003943,not_bound,enriched,NA,L1
WBGene00009914,bound,enriched,repressed,L1
WBGene00011330,bound,enriched,independent,L1
WBGene00013643,bound,enriched,repressed,L1
WBGene00013609,not_bound,enriched,NA,L1
WBGene00021321,bound,enriched,NA,L1
WBGene00020576,bound,enriched,repressed,L1
WBGene00020340,bound,enriched,independent,L1
WBGene00019931,bound,enriched,repressed,L1
WBGene00012251,bound,enriched,activated,L1
WBGene00021397,not_bound,enriched,repressed,L1
WBGene00010605,bound,enriched,repressed,L1
WBGene00009523,bound,enriched,NA,L1
WBGene00021580,not_bound,enriched,repressed,L1
WBGene00007557,bound,enriched,independent,L1
WBGene00019986,bound,enriched,activated,L1
WBGene00016450,bound,enriched,NA,L1
WBGene00012525,bound,enriched,NA,L1
WBGene00011102,bound,enriched,activated,L1
WBGene00002054,bound,enriched,independent,L1
WBGene00017093,bound,enriched,NA,L1
WBGene00022346,not_bound,enriched,independent,L1
WBGene00017501,not_bound,enriched,NA,L1
WBGene00006915,not_bound,enriched,NA,L1
WBGene00008097,not_bound,enriched,independent,L1
WBGene00018100,not_bound,enriched,independent,L1
WBGene00005444,bound,enriched,NA,L1
WBGene00012782,bound,enriched,independent,L1
WBGene00013762,not_bound,enriched,NA,L1
WBGene00020280,bound,enriched,independent,L1
WBGene00016883,bound,enriched,independent,L1
WBGene00003958,bound,enriched,independent,L1
WBGene00013839,bound,enriched,NA,L1
WBGene00012101,bound,enriched,repressed,L1
WBGene00021879,not_bound,enriched,NA,L1
WBGene00002067,bound,enriched,independent,L1
WBGene00019617,not_bound,enriched,activated,L1
WBGene00001795,bound,enriched,independent,L1
WBGene00000977,bound,enriched,NA,L1
WBGene00002138,bound,enriched,independent,L1
WBGene00019057,bound,enriched,repressed,L1
WBGene00019869,bound,enriched,NA,L1
WBGene00021583,bound,enriched,repressed,L1
WBGene00010750,bound,enriched,repressed,L1
WBGene00219216,bound,enriched,repressed,L1
WBGene00007672,not_bound,enriched,NA,L1
WBGene00013874,bound,enriched,activated,L1
WBGene00001581,bound,enriched,NA,L1
WBGene00019017,bound,enriched,NA,L1
WBGene00007452,not_bound,enriched,NA,L1
WBGene00013559,bound,enriched,repressed,L1
WBGene00011207,bound,enriched,NA,L1
WBGene00012445,bound,enriched,independent,L1
WBGene00008900,not_bound,enriched,activated,L1
WBGene00020938,bound,enriched,activated,L1
WBGene00008692,bound,enriched,NA,L1
WBGene00001250,bound,enriched,activated,L1
WBGene00010070,bound,enriched,independent,L1
WBGene00022867,bound,enriched,activated,L1
WBGene00016717,not_bound,enriched,NA,L1
WBGene00012404,bound,enriched,activated,L1
WBGene00016884,bound,enriched,independent,L1
WBGene00009393,bound,enriched,repressed,L1
WBGene00001465,not_bound,enriched,independent,L1
WBGene00002139,not_bound,enriched,independent,L1
WBGene00014047,bound,enriched,independent,L1
WBGene00011936,bound,enriched,NA,L1
WBGene00008595,not_bound,enriched,repressed,L1
WBGene00013607,not_bound,enriched,NA,L1
WBGene00007392,bound,enriched,independent,L1
WBGene00018984,bound,enriched,independent,L1
WBGene00008220,bound,enriched,independent,L1
WBGene00016218,not_bound,enriched,repressed,L1
WBGene00010150,bound,enriched,NA,L1
WBGene00010296,bound,enriched,NA,L1
WBGene00007394,bound,enriched,activated,L1
WBGene00018931,bound,enriched,repressed,L1
WBGene00011212,bound,enriched,activated,L1
WBGene00003956,bound,enriched,NA,L1
WBGene00003730,bound,enriched,repressed,L1
WBGene00020360,bound,enriched,repressed,L1
