Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note,rep
A01,FAM,elt-2,Unkn-01,L4440rnai-N2,,27.58275399,27.45813929,0.109962506,NaN,NaN,NaN,NaN,60,,1
A02,FAM,elt-2,Unkn-01,L4440rnai-N2,,27.41693016,27.45813929,0.109962506,NaN,NaN,NaN,NaN,60,,1
A03,FAM,elt-2,Unkn-01,L4440rnai-N2,,27.37473372,27.45813929,0.109962506,NaN,NaN,NaN,NaN,60,,1
A04,FAM,elt-2,Unkn-09,L4440rnai-N2,,27.36245993,27.50176584,0.12503952,NaN,NaN,NaN,NaN,60,,2
A05,FAM,elt-2,Unkn-09,L4440rnai-N2,,27.53855122,27.50176584,0.12503952,NaN,NaN,NaN,NaN,60,,2
A06,FAM,elt-2,Unkn-09,L4440rnai-N2,,27.60428638,27.50176584,0.12503952,NaN,NaN,NaN,NaN,60,,2
A07,FAM,elt-2,Unkn-17,L4440rnai-N2,,30.31047679,30.27611851,0.055471163,NaN,NaN,NaN,NaN,60,,3
A08,FAM,elt-2,Unkn-17,L4440rnai-N2,,30.21212397,30.27611851,0.055471163,NaN,NaN,NaN,NaN,60,,3
A09,FAM,elt-2,Unkn-17,L4440rnai-N2,,30.30575476,30.27611851,0.055471163,NaN,NaN,NaN,NaN,60,,3
A10,FAM,elt-2,Unkn-21,L4440rnai-N2,,24.80651941,24.8562374,0.128982342,NaN,NaN,NaN,NaN,60,,4
A11,FAM,elt-2,Unkn-21,L4440rnai-N2,,25.00267984,24.8562374,0.128982342,NaN,NaN,NaN,NaN,60,,4
A12,FAM,elt-2,Unkn-21,L4440rnai-N2,,24.75951294,24.8562374,0.128982342,NaN,NaN,NaN,NaN,60,,4
B01,FAM,elt-2,Unkn-02,ELT2rnai-N2,,26.57731159,26.4498975,0.115339265,NaN,NaN,NaN,NaN,60,,1
B02,FAM,elt-2,Unkn-02,ELT2rnai-N2,,26.35261393,26.4498975,0.115339265,NaN,NaN,NaN,NaN,60,,1
B03,FAM,elt-2,Unkn-02,ELT2rnai-N2,,26.41976697,26.4498975,0.115339265,NaN,NaN,NaN,NaN,60,,1
B04,FAM,elt-2,Unkn-10,ELT2rnai-N2,,25.61809366,25.65227062,0.047501976,NaN,NaN,NaN,NaN,60,,2
B05,FAM,elt-2,Unkn-10,ELT2rnai-N2,,25.70651269,25.65227062,0.047501976,NaN,NaN,NaN,NaN,60,,2
B06,FAM,elt-2,Unkn-10,ELT2rnai-N2,,25.63220551,25.65227062,0.047501976,NaN,NaN,NaN,NaN,60,,2
B07,FAM,elt-2,Unkn-18,ELT2rnai-N2,,28.68409557,28.57928893,0.091279832,NaN,NaN,NaN,NaN,60,,3
B08,FAM,elt-2,Unkn-18,ELT2rnai-N2,,28.5172066,28.57928893,0.091279832,NaN,NaN,NaN,NaN,60,,3
B09,FAM,elt-2,Unkn-18,ELT2rnai-N2,,28.53656461,28.57928893,0.091279832,NaN,NaN,NaN,NaN,60,,3
B10,FAM,elt-2,Unkn-22,ELT2rnai-N2,,23.41919755,23.65068741,0.229659105,NaN,NaN,NaN,NaN,60,,4
B11,FAM,elt-2,Unkn-22,ELT2rnai-N2,,23.65439378,23.65068741,0.229659105,NaN,NaN,NaN,NaN,60,,4
B12,FAM,elt-2,Unkn-22,ELT2rnai-N2,,23.87847089,23.65068741,0.229659105,NaN,NaN,NaN,NaN,60,,4
C01,FAM,elt-2,Unkn-03,L4440rnai-elt7,,26.70677223,26.42486022,0.265616239,NaN,NaN,NaN,NaN,60,,1
C02,FAM,elt-2,Unkn-03,L4440rnai-elt7,,26.38852828,26.42486022,0.265616239,NaN,NaN,NaN,NaN,60,,1
C03,FAM,elt-2,Unkn-03,L4440rnai-elt7,,26.17928013,26.42486022,0.265616239,NaN,NaN,NaN,NaN,60,,1
C04,FAM,elt-2,Unkn-11,L4440rnai-elt7,,26.15079131,26.20820289,0.055274735,NaN,NaN,NaN,NaN,60,,2
C05,FAM,elt-2,Unkn-11,L4440rnai-elt7,,26.26105881,26.20820289,0.055274735,NaN,NaN,NaN,NaN,60,,2
C06,FAM,elt-2,Unkn-11,L4440rnai-elt7,,26.21275855,26.20820289,0.055274735,NaN,NaN,NaN,NaN,60,,2
C07,FAM,elt-2,Unkn-19,L4440rnai-elt7,,28.13649427,28.18036909,0.05712361,NaN,NaN,NaN,NaN,60,,3
C08,FAM,elt-2,Unkn-19,L4440rnai-elt7,,28.15965259,28.18036909,0.05712361,NaN,NaN,NaN,NaN,60,,3
C09,FAM,elt-2,Unkn-19,L4440rnai-elt7,,28.24496042,28.18036909,0.05712361,NaN,NaN,NaN,NaN,60,,3
C10,FAM,elt-2,Unkn-23,L4440rnai-elt7,,24.36048292,24.30634379,0.135415204,NaN,NaN,NaN,NaN,60,,4
C11,FAM,elt-2,Unkn-23,L4440rnai-elt7,,24.15223488,24.30634379,0.135415204,NaN,NaN,NaN,NaN,60,,4
