Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note,rep
A01,SYBR,elt-2,Unkn,L4440rnai-N2,,28.03908175,28.03908175,0,NaN,NaN,NaN,0,63.3,,1
A02,SYBR,elt-2,Unkn,L4440rnai-N2,,27.81501789,27.81501789,0,NaN,NaN,NaN,0,63.3,,1
A03,SYBR,elt-2,Unkn,L4440rnai-N2,,26.84828942,26.84828942,0,NaN,NaN,NaN,0,63.3,,1
A04,SYBR,elt-2,Unkn,L4440rnai-N2,,28.15262889,28.15262889,0,NaN,NaN,NaN,0,63.3,,2
A05,SYBR,elt-2,Unkn,L4440rnai-N2,,27.26660916,27.26660916,0,NaN,NaN,NaN,0,63.3,,2
A06,SYBR,elt-2,Unkn,L4440rnai-N2,,27.52861308,27.52861308,0,NaN,NaN,NaN,0,63.3,,2
A07,SYBR,elt-2,Unkn,L4440rnai-N2,,29.80786505,29.80786505,0,NaN,NaN,NaN,0,63.3,,3
A08,SYBR,elt-2,Unkn,L4440rnai-N2,,29.94236284,29.94236284,0,NaN,NaN,NaN,0,63.3,,3
A09,SYBR,elt-2,Unkn,L4440rnai-N2,,30.48558738,30.48558738,0,NaN,NaN,NaN,0,63.3,,3
A10,SYBR,elt-2,Unkn,L4440rnai-N2,,24.83795269,24.83795269,0,NaN,NaN,NaN,0,63.3,,4
A11,SYBR,elt-2,Unkn,L4440rnai-N2,,25.22358434,25.22358434,0,NaN,NaN,NaN,0,63.3,,4
A12,SYBR,elt-2,Unkn,L4440rnai-N2,,29.14200631,29.14200631,0,NaN,NaN,NaN,0,63.3,,4
B01,SYBR,elt-2,Unkn,ELT2rnai-N2,,25.82473481,25.82473481,0,NaN,NaN,NaN,0,63.3,,1
B02,SYBR,elt-2,Unkn,ELT2rnai-N2,,25.26987908,25.26987908,0,NaN,NaN,NaN,0,63.3,,1
B03,SYBR,elt-2,Unkn,ELT2rnai-N2,,25.25513516,25.25513516,0,NaN,NaN,NaN,0,63.3,,1
B04,SYBR,elt-2,Unkn,ELT2rnai-N2,,24.66432256,24.66432256,0,NaN,NaN,NaN,0,63.3,,2
