seqnames	start	end	width	strand	len	wbps_gene_id	gene_name	chip_signal_mean	chip_signal_max	log_chip_signal_mean	log_chip_signal_max	IDR_mean	IDR_max	IDR_value	IDR_nlogq	IDR_logTEN_max	IDR_logTEN_mean	IDR_logTEN_value	baseMean	log2FoldChange	lfcSE	pvalue	padj	class
WBGene00007725	chrV	19410658	19411857	1200	-	1200	WBGene00007725	C25F9.5	28.178969	51.425972	7.0184306243319	7.0583528980684	NA	NA	NA	NA	NA	NA	NA	314.397742139331	13.2990427007615	2.82300894451448	9.65617581746255e-21	2.64519877770545e-19	classC
WBGene00044723	chrIV	670356	671555	1200	-	1200	WBGene00044723	K11H12.11	1.787676	9.95639	6.69005964618744	6.5206388093999	NA	NA	NA	NA	NA	NA	NA	212.125112828688	12.4555385710697	2.72841105638947	5.82794480087884e-20	1.5220946647728e-18	classC
WBGene00008044	chrIII	9318941	9320140	1200	+	1200	WBGene00008044	C40H1.9	10.463166	32.823658	6.80645171839358	6.84148319601425	NA	NA	NA	NA	NA	NA	NA	123.845317928184	11.9332101254607	2.82625732047327	7.80848603348787e-16	1.55962978677017e-14	classC
WBGene00010745	chrIV	12975303	12976502	1200	+	1200	WBGene00010745	dod-17	-7.739326	19.866701	6.55039914248169	6.66851759259536	NA	NA	NA	NA	NA	NA	NA	112.919650241904	11.2569542679138	2.67995753734967	4.60768467438346e-16	9.3556032301612e-15	classC
WBGene00017667	chrX	1336976	1338175	1200	-	1200	WBGene00017667	ttr-37	20.813974	54.60923	6.93405304747108	7.09240430863704	NA	NA	NA	NA	NA	NA	NA	1699.55458024845	11.1882637942605	0.693110354538202	7.06947690097035e-58	1.01212204332578e-55	classC
WBGene00010128	chrIV	12961808	12963007	1200	+	1200	WBGene00010128	F55G11.8	29.777558	70.381042	7.03611091303856	7.25018880682271	57.925306	70.381042	68.893028129957	2.10282557981751	1.84745569233009	1.76286833670043	1.83817527418789	336.730838970998	11.1742149936149	1.34792545368281	8.84671708698177e-20	2.29219958974981e-18	classA
WBGene00021167	chrV	2201216	2202415	1200	-	1200	WBGene00021167	cyp-32B1	6.81867	40.270187	6.7586950354505	6.93224520624523	NA	NA	NA	NA	NA	NA	NA	761.571728875587	11.0553414790283	0.933257319913874	2.27387166193694e-31	1.03240089762109e-29	classC
WBGene00007867	chrIV	12920264	12921463	1200	+	1200	WBGene00007867	C32H11.4	56.869768	83.47139	7.30685011077889	7.369194085558	NA	NA	NA	NA	NA	NA	NA	820.694704748425	11.0245606960895	1.07176923377514	1.6804246711208e-24	5.37681068505113e-23	classC
WBGene00019779	chrX	8241301	8242500	1200	+	1200	WBGene00019779	endu-2	3.546573	17.557753	6.71442839858566	6.6353937304731	NA	NA	NA	NA	NA	NA	NA	1008.85952868173	10.8341077616884	0.874551003550763	2.1368222450867e-34	1.13274679770623e-32	classC
WBGene00014666	chrII	11424266	11425465	1200	+	1200	WBGene00014666	C05D12.3	55.409824	87.484093	7.29348601364091	7.40379162685842	NA	NA	NA	NA	NA	NA	NA	276.611795122556	10.7251320731217	1.35270901648137	3.69926950162929e-18	8.56640755666552e-17	classC
WBGene00020788	chrX	9033554	9034753	1200	+	1200	WBGene00020788	nep-22	19.377074	82.843048	6.91699978927061	7.36370059026874	68.582838	82.843048	77.7511094325744	2.87370801886334	1.91825606928019	1.83621545252343	1.89070659470219	1748.50228590042	10.5553893290693	0.581569678986782	3.18472983653148e-72	8.79792831179275e-70	classA
WBGene00007691	chrX	12218660	12219859	1200	+	1200	WBGene00007691	cest-8	-7.429211	16.143932	6.55516469436587	6.6147293203668	NA	NA	NA	NA	NA	NA	NA	794.908460339861	10.4376093287099	0.722993066820212	1.13475873639456e-45	9.84829993612518e-44	classC
WBGene00000218	chrV	8271385	8272584	1200	+	1200	WBGene00000218	asp-5	17.845984	82.442406	6.89860407176644	7.36018688754735	64.957807	82.442406	90.9928396203034	3.0312468362327	1.91615065774662	1.81263135453553	1.95900721830195	2396.12282151043	10.4212977338632	0.709701882250643	2.65181498611923e-48	2.61370347425842e-46	classA
WBGene00019014	chrX	551193	552392	1200	-	1200	WBGene00019014	F57C12.2	30.687315	95.87851	7.04607686109046	7.47359131156528	NA	NA	NA	NA	NA	NA	NA	618.252912117484	10.4125941876653	0.846766444203734	1.07652065173246e-33	5.48438339300792e-32	classC
WBGene00011213	chrV	18241471	18242670	1200	-	1200	WBGene00011213	R10E8.8	12.348546	44.319672	6.8305504967198	6.97930586472522	NA	NA	NA	NA	NA	NA	NA	51.0008789880219	10.3431737565212	2.68175511473117	2.4112555945599e-13	4.10185318575003e-12	classC
WBGene00000214	chrV	19050553	19051752	1200	-	1200	WBGene00000214	asp-1	46.768074	122.915161	7.21174048493544	7.67787853720579	NA	NA	NA	NA	NA	NA	NA	13003.2386707722	10.2431356948017	0.503003792658478	1.24313449224545e-92	8.7081571181794e-90	classC
WBGene00013646	chrIV	15883222	15884421	1200	+	1200	WBGene00013646	Y105C5B.3	0.537742	6.980377	6.67248870600923	6.47310124130915	NA	NA	NA	NA	NA	NA	NA	255.394787575224	10.1879806579126	1.14576388948839	6.69540274744982e-19	1.621279376401e-17	classC
