Geneid	Chr	Start	End	Strand	Length	elt2D_sorted_1	elt2D_sorted_2	elt2D_sorted_3	elt2D_sorted_4	elt2Delt7D_sorted_1	elt2Delt7D_sorted_2	elt2Delt7D_sorted_3	wt_sorted_1	wt_sorted_2	wt_sorted_3	wt_sorted_4	elt7D_sorted_1	elt7D_sorted_2	elt7D_sorted_3
WBGene00010961	MtDNA	3389	3417	+	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010964	MtDNA	7827	7844	+	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001492	IV;IV	48845;48845	48880;48880	-;-	36	3	2	2	2	2	3	0	0	2	3	3	3	2	2
WBGene00015246	IV	90018	90082	-	65	1	1	0	0	0	0	0	2	0	0	0	1	0	0
WBGene00006599	IV;IV;IV;IV;IV;IV;IV	92016;92803;93685;98788;103444;103933;103933	92051;92910;93830;98890;103576;103961;103961	+;+;+;+;+;+;+	555	213	270	175	167	165	142	116	167	140	103	138	152	115	158
WBGene00015247	IV;IV;IV;IV;IV	109408;109408;109514;109515;111823	109467;109467;109684;109684;112054	-;-;-;-;-	463	8	17	8	11	9	13	5	5	2	1	5	6	5	7
WBGene00017927	IV;IV;IV	111465;111624;111651	111475;111676;111676	+;+;+	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00017928	IV	121698	121707	-	10	5	3	2	4	3	2	2	5	6	5	4	6	3	0
WBGene00017929	IV;IV;IV;IV	125924;125924;125924;125924	126225;125929;126225;125929	-;-;-;-	302	15	13	8	12	11	14	7	19	3	12	15	5	11	3
WBGene00017926	IV	126731	126731	+	1	10	27	18	19	10	13	0	6	24	18	16	13	20	8
WBGene00000897	IV;IV	132416;132416	132450;132450	+;+	35	1	9	2	6	3	3	3	2	1	3	4	3	4	0
WBGene00021400	IV	157891	157901	-	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021398	IV	158962	159027	+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021397	IV	162830	162851	+	22	3	13	8	3	11	4	2	5	0	1	1	1	1	0
WBGene00021396	IV;IV	165077;165077	165176;165176	+;+	100	4	15	9	9	6	8	7	2	0	2	2	1	1	2
WBGene00006561	IV;IV	179008;179716	179082;179742	+;+	102	18	27	21	16	20	24	19	29	28	31	33	26	27	30
WBGene00021395	IV;IV	184554;186351	184649;186431	+;+	177	3	2	1	1	2	1	5	0	3	4	5	3	2	4
WBGene00021402	IV;IV	192256;192265	192481;192481	+;+	226	15	17	11	13	11	13	6	14	10	23	21	11	12	10
WBGene00000815	IV	194745	194777	+	33	10	16	6	9	15	9	5	4	7	9	8	7	8	6
WBGene00044736	IV;IV	203322;203511	203330;203881	+;+	380	34	43	41	39	54	51	46	42	49	30	47	63	42	58
WBGene00195063	IV	205239	205297	+	59	9	21	8	9	12	9	7	18	16	9	8	17	15	12
WBGene00021394	IV;IV	208189;208189	208207;208207	+;+	19	11	10	9	4	10	9	11	9	3	4	10	12	11	2
WBGene00021401	IV;IV	218551;218552	218566;218566	+;+	16	2	7	5	8	11	2	4	3	3	1	4	3	5	5
WBGene00019821	IV	225907	225993	-	87	73	134	62	69	70	82	29	93	69	62	71	52	36	39
WBGene00019822	IV;IV	234509;235934	234514;235990	-;-	63	25	48	24	26	33	27	8	22	23	15	21	13	11	12
WBGene00019823	IV	240299	240307	-	9	2	4	3	2	4	1	4	2	5	2	1	0	1	1
WBGene00019820	IV	240451	240588	+	138	8	5	3	4	2	4	1	4	0	4	2	1	1	0
WBGene00019819	IV;IV	245114;245114	245196;245196	+;+	83	13	21	16	8	6	5	8	5	16	9	15	15	10	5
WBGene00001728	IV	252535	252554	-	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00019824	IV	255427	255429	-	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00019825	IV	257190	257199	-	10	0	1	1	0	0	2	2	1	1	0	0	1	2	2
WBGene00001071	IV;IV	259204;259204	259204;259204	-;-	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00020647	IV;IV	261681;261681	261683;261683	-;-	3	0	1	2	1	2	1	0	1	2	1	0	0	2	2
WBGene00003932	IV	264225	264232	-	8	11	21	7	17	16	11	9	16	11	9	22	12	9	17
WBGene00020651	IV	266448	266450	+	3	7	12	13	12	12	18	38	12	10	4	20	9	10	13
WBGene00020649	IV;IV;IV;IV	274570;274570;274602;274602	274625;274625;274625;274625	+;+;+;+	56	13	17	8	9	8	7	0	18	17	25	16	2	10	5
WBGene00045177	IV	288089	288127	-	39	2	2	0	0	0	0	0	4	0	1	3	4	0	2
WBGene00020648	IV	291426	291456	-	31	0	0	0	0	1	0	0	0	0	0	0	0	2	0
WBGene00019298	IV;IV;IV	294646;294646;294838	294676;294651;294845	-;-;-	39	257	430	274	264	236	247	365	202	300	231	268	300	206	310
WBGene00019300	IV	307505	307536	+	32	13	25	11	18	13	14	4	12	29	20	21	9	9	4
