Geneid	Chr	Start	End	Strand	Length	elt2D_sorted_1	elt2D_sorted_2	elt2D_sorted_3	elt2D_sorted_4	elt2Delt7D_sorted_1	elt2Delt7D_sorted_2	elt2Delt7D_sorted_3	wt_sorted_1	wt_sorted_2	wt_sorted_3	wt_sorted_4	elt7D_sorted_1	elt7D_sorted_2	elt7D_sorted_3
WBGene00010957	MtDNA	545	549	+	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010958	MtDNA	780	783	+	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010960	MtDNA	3231	3235	+	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010961	MtDNA	4264	4269	+	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000829	MtDNA	5614	5621	+	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010962	MtDNA	6443	6449	+	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010963	MtDNA	7733	7808	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010964	MtDNA	9420	9428	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010965	MtDNA	10342	10348	+	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010966	MtDNA	11689	11691	+	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010967	MtDNA	13272	13272	+	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001492	IV;IV	32481;32481	32952;32952	-;-	472	0	1	0	0	0	1	0	0	0	0	0	0	0	0
WBGene00006599	IV;IV;IV	110152;110152;110152	110756;110756;110756	+;+;+	605	203	299	195	213	249	270	302	351	279	345	303	204	195	182
WBGene00015247	IV	108971	109053	-	83	2	6	3	3	5	4	4	3	8	2	1	2	1	2
WBGene00017928	IV;IV	119272;119272	119404;119404	-;-	133	10	12	12	9	16	17	18	31	18	36	21	6	5	11
WBGene00017929	IV;IV;IV;IV;IV;IV	121797;121797;121809;121809;122405;122405	121927;121927;122085;122085;122545;122545	-;-;-;-;-;-	430	91	158	87	89	158	113	111	103	129	144	140	98	79	74
WBGene00017926	IV	127515	127640	+	126	321	474	284	353	411	310	124	499	469	457	470	231	196	142
WBGene00000897	IV;IV	137622;137622	138076;138054	+;+	455	62	99	71	81	85	58	104	101	97	107	85	69	60	62
WBGene00000674	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346;138346	138698;138698;138698;138698;138759;138759;138759;138759;138759;138759;138698;138698;138698;138698;138759;138759;138759	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	414	15	17	17	27	19	39	32	15	11	23	9	6	7	5
WBGene00021400	IV	156071	156138	-	68	0	4	0	3	1	3	0	6	6	6	14	2	2	6
WBGene00021398	IV	159783	159836	+	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021397	IV	164593	164814	+	222	31	36	27	35	20	20	6	5	4	9	4	6	3	4
WBGene00021396	IV;IV	169865;169865	169980;169980	+;+	116	13	11	9	12	13	11	9	6	3	3	5	2	1	1
WBGene00006561	IV;IV	182915;182915	183251;183261	+;+	347	20	38	23	22	31	30	32	54	41	63	57	23	29	18
WBGene00021395	IV;IV;IV	192080;192080;192080	192151;192149;192149	+;+;+	72	1	5	2	4	9	12	4	15	21	16	25	13	14	8
WBGene00021402	IV;IV	193908;194065	194745;194745	+;+	838	59	83	35	60	78	65	31	76	76	75	84	38	37	33
WBGene00000815	IV	202442	202586	+	145	15	24	15	13	32	22	8	43	21	36	26	22	7	17
WBGene00044736	IV	205082	205262	+	181	11	18	9	14	23	15	6	32	27	25	20	24	19	16
WBGene00195063	IV	207985	208049	+	65	4	7	7	4	10	8	3	9	9	2	8	3	6	4
WBGene00021394	IV;IV;IV	217003;217003;217003	217390;217399;217390	+;+;+	397	23	32	26	39	59	60	31	62	82	83	71	45	45	42
WBGene00021401	IV;IV	220770;220770	220799;220854	+;+	85	16	18	14	7	33	31	6	25	16	25	30	14	7	15
WBGene00019821	IV;IV	225439;225440	225480;225480	-;-	42	2	4	4	3	1	2	4	2	2	4	11	2	1	2
WBGene00019822	IV;IV;IV	232473;232509;232509	232595;232595;232595	-;-;-	123	0	1	4	4	3	7	2	8	7	0	3	2	3	5
WBGene00019823	IV	237591	237961	-	371	12	15	7	14	31	21	13	20	31	30	32	13	11	7
WBGene00019820	IV	243905	244129	+	225	1	4	1	1	8	8	0	4	2	5	6	1	3	1
WBGene00019819	IV;IV	251719;251719	251925;251923	+;+	207	30	40	19	27	25	33	26	28	69	48	36	22	16	17
